time_period,process,location,material,capacity,notes
0,beneficiation,AU,flurocarbonate,17000000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,beneficiation,AU,phosphate,8750000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,clay mining,AU,ion adsorption clay,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,clay refining,AU,dysprosium_oxide,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,clay refining,AU,neodynium_oxide,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,hydrochloric acid digestion,AU,dysprosium_oxide,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,hydrochloric acid digestion,AU,neodynium_oxide,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,mining,AU,bastnasite,20000000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,mining,AU,monazaite,18000000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,sulfuric acid digestion,AU,dysprosium_oxide,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,sulfuric acid digestion,AU,neodynium_oxide,0,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,clay mining,BR,ion adsorption clay,300000,Brazil Serra Verde IAC; all 4 magnet REEs including Dy Tb [Scenario 1: Allied Corridor Buildout]
0,clay refining,BR,dysprosium_oxide,0,Brazil Serra Verde DyOx; only non-CN IAC Dy+Tb source [Scenario 1: Allied Corridor Buildout]
0,clay refining,BR,neodynium_oxide,100000,Brazil Serra Verde oxide output [Scenario 1: Allied Corridor Buildout]
0,mining,BR,bastnasite,200000,Brazil Serra Verde Pela Ema; Phase 1 2024; HREE-rich IAC deposit [Scenario 1: Allied Corridor Buildout]
0,mining,BR,monazaite,100000,Brazil monazite sands placeholder [Scenario 1: Allied Corridor Buildout]
0,mining,CA,bastnasite,0,Canada placeholder; 14M MT reserves; DOD-backed projects ramping [Scenario 1: Allied Corridor Buildout]
0,mining,CA,monazaite,0,Canada placeholder; monazite sands [Scenario 1: Allied Corridor Buildout]
0,beneficiation,CN,flurocarbonate,185000000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,beneficiation,CN,phosphate,10000000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
0,chemical transformation,CN,neodynium dysprosium iron alloy,185000000,Placeholder — tune with real data [Scenario 1: Allied Corridor Buildout]
