time_period,process,location,material,capacity,notes
0,beneficiation,AU,flurocarbonate,9000000,Placeholder — tune with real data
0,beneficiation,AU,phosphate,9000000,Placeholder — tune with real data
0,beneficiation,CN,flurocarbonate,80000000,Placeholder — tune with real data
0,beneficiation,CN,phosphate,80000000,Placeholder — tune with real data
0,beneficiation,US,flurocarbonate,20000000,Placeholder — tune with real data
0,beneficiation,US,phosphate,20000000,Placeholder — tune with real data
0,chemical transformation,CN,neodynium dysprosium iron alloy,170000000,Placeholder — tune with real data
0,chemical transformation,EE,neodynium dysprosium iron alloy,2500000,Neo alloy production for Narva magnet plant
0,chemical transformation,JP,neodynium dysprosium iron alloy,30000000,Placeholder — tune with real data
0,chemical transformation,US,neodynium dysprosium iron alloy,10000000,Placeholder — tune with real data
0,clay mining,AU,ion adsorption clay,5000000,Placeholder — tune with real data
0,clay mining,BR,ion adsorption clay,300000,Brazil Serra Verde IAC; all 4 magnet REEs including Dy Tb
0,clay mining,CN,ion adsorption clay,50000000,Placeholder — tune with real data
0,clay mining,MM,ion adsorption clay,31000000,Myanmar Kachin State IAC; volatile — 5% annual decline risk
0,clay refining,AU,dysprosium_oxide,500000,Placeholder — tune with real data
0,clay refining,AU,neodynium_oxide,2000000,Placeholder — tune with real data
0,clay refining,BR,dysprosium_oxide,50000,Brazil Serra Verde DyOx; only non-CN IAC Dy+Tb source
0,clay refining,BR,neodynium_oxide,100000,Brazil Serra Verde oxide output
0,clay refining,CN,dysprosium_oxide,5000000,Placeholder — tune with real data
0,clay refining,CN,neodynium_oxide,20000000,Placeholder — tune with real data
0,clay refining,MM,dysprosium_oxide,8000000,Myanmar in-situ leach; DyOx-rich IAC (8-12% Dy concentration)
0,clay refining,MM,neodynium_oxide,2000000,Myanmar in-situ leach; NdOx minor fraction
0,cryogenic,US,neodynium dysprosium iron alloy,50000000,Placeholder — tune with real data
0,direct reuse,US,hp_magnet,50000000,Placeholder — tune with real data
0,hydrochloric acid digestion,AU,dysprosium_oxide,1000000,Placeholder — tune with real data
0,hydrochloric acid digestion,AU,neodynium_oxide,8000000,Placeholder — tune with real data
0,hydrochloric acid digestion,CN,dysprosium_oxide,5000000,Placeholder — tune with real data
0,hydrochloric acid digestion,CN,neodynium_oxide,40000000,Placeholder — tune with real data
0,hydrochloric acid digestion,EE,dysprosium_oxide,150000,Neo Silmet HREE
0,hydrochloric acid digestion,EE,neodynium_oxide,1000000,Neo Silmet secondary circuit
0,hydrochloric acid digestion,MY,dysprosium_oxide,1000000,Lynas LAMP HCAD HREE
0,hydrochloric acid digestion,MY,neodynium_oxide,5000000,Lynas LAMP secondary HCAD circuit
0,hydrochloric acid digestion,US,dysprosium_oxide,2000000,Placeholder — tune with real data
0,hydrochloric acid digestion,US,neodynium_oxide,15000000,Placeholder — tune with real data
0,hydrometallurgical,US,neodynium dysprosium iron alloy,50000000,Placeholder — tune with real data
0,magnet manufacturing,CN,hp_magnet,170000000,Placeholder — tune with real data
0,magnet manufacturing,EE,hp_magnet,2000000,"Neo Narva NdFeB plant; 2000 t/yr Phase1A 2025, scaling to 5000"
0,magnet manufacturing,JP,hp_magnet,25000000,Placeholder — tune with real data
0,magnet manufacturing,US,hp_magnet,5000000,Placeholder — tune with real data
0,magnet-to-magnet recycling,US,hp_magnet,50000000,Placeholder — tune with real data
0,magnet_market_mix,US,hp_magnet,500000000,Placeholder — tune with real data
0,metallothermic reduction,CN,dysprosium,3000000,Placeholder — tune with real data
0,metallothermic reduction,EE,dysprosium,250000,Neo Silmet Dy metal
