cost_usd,gwp_kg_co2eq,child_labor_hrs
212922.436128179,135067.039058537,2.939089416
213013.351936226,134970.512678723,2.939089517
213048.885001352,135028.933906273,2.932004491
213103.910414012,134970.512678722,2.932004491
213104.267704077,134873.986289803,2.939089173
213175.351890659,134990.823210993,2.924919253
213194.481830243,134970.512678892,2.924919253
213194.826132621,134873.986289973,2.932004491
213195.183402569,134777.459901053,2.939089147
213285.397596853,134873.986289973,2.924919253
213285.741972038,134777.459900884,2.932004491
213286.09916946,134680.933512134,2.939089147
213301.818859649,134952.71259272,2.917834015
213375.969061169,134873.986289973,2.917834015
213376.313411031,134777.459900884,2.924919253
213376.657679703,134680.933512134,2.932004491
213377.014927086,134584.407123215,2.939089147
213428.28574807,134914.601897542,2.910748778
213466.540538664,134873.986289973,2.910748778
213466.884827922,134777.459901053,2.917834015
213467.229130248,134680.933512134,2.924919253
213467.573432881,134584.407123215,2.932004491
213467.930714065,134487.880734296,2.939089142
213554.752658766,134876.491235696,2.90366354
213557.111989942,134873.986289973,2.90366354
213557.45630572,134777.459901054,2.910748778
213557.800594686,134680.933512134,2.917834015
213558.14494005,134584.407123045,2.924919253
213558.489199562,134487.880734296,2.932004491
213628.000129971,134391.354345431,2.933746508
213648.027756737,134777.459901054,2.90366354
213648.372072791,134680.933512134,2.910748778
213648.71636154,134584.407123215,2.917834015
213649.060712737,134487.880734126,2.924919253
213649.964754291,134391.354345216,2.932004491
213681.219587665,134838.380579052,2.896578302
213738.599221095,134777.459901054,2.896578302
213738.943571011,134680.933511965,2.90366354
213739.287818185,134584.407123215,2.910748778
213739.632176739,134487.880734126,2.917834015
213739.976430646,134391.354345377,2.924919253
213813.893913636,134805.580854199,2.889493064
213829.515000611,134680.933512134,2.896578302
213829.859289738,134584.407123215,2.90366354
213830.203605869,134487.880734295,2.910748778
213830.547941104,134391.354345207,2.917834015
213839.030018918,134294.827956512,2.924467048
213839.03006519,134294.827956439,2.924467548
213840.380228083,134777.459901054,2.889493064
213920.43075453,134584.407123215,2.896578302
213920.775047354,134487.880734296,2.90366354
213921.119372628,134391.354345377,2.910748778
213922.674039279,134294.82795646,2.917834015
213931.295994782,134680.933512134,2.889493064
213954.197996327,134796.003306314,2.882407826
213971.663455757,134777.459901054,2.882407826
214011.34653444,134487.880734296,2.896578302
214011.690836994,134391.354345376,2.90366354
214012.035116374,134294.827956457,2.910748778
214022.21177495,134584.407123215,2.889493064
214050.059908601,134198.301567593,2.915187588
214050.059948464,134198.30156752,2.915188088
214062.579292455,134680.933511965,2.882407826
214094.502017176,134786.425719141,2.875322588
214102.262287712,134391.354345376,2.896578302
214102.606604338,134294.827956457,2.90366354
214102.94673111,134777.459900884,2.875322588
214106.033114236,134198.301567541,2.910748778
214113.127542477,134487.880734296,2.889493064
214153.495003557,134584.407123215,2.882407826
214193.178054556,134294.827956457,2.896578302
214193.862464282,134680.933512134,2.875322588
214195.383375262,134198.301567541,2.90366354
214204.043294824,134391.354345376,2.889493064
214234.806103323,134776.848172228,2.868237351
214244.410804783,134487.880734126,2.882407826
214261.089796895,134101.775178674,2.905908128
214261.089838451,134101.7751786,2.905908628
214284.733669359,134198.301567541,2.896578302
214284.778216854,134584.407123215,2.875322588
214289.392183804,134101.775178622,2.90366354
214294.959053692,134294.827956457,2.889493064
214325.14566877,134680.933512134,2.868237351
214335.326592877,134391.354345207,2.882407826
214375.110174949,134767.270622367,2.861152113
214375.693997745,134487.880734296,2.875322588
214378.742467301,134101.775178622,2.896578302
214385.874828365,134198.301567538,2.889493064
214416.061459073,134584.407123215,2.868237351
214426.24230345,134294.827956457,2.882407826
214456.428897053,134680.933512135,2.861152113
214466.609764813,134391.354345377,2.875322588
214472.119675646,134005.248789754,2.896628668
214472.816599455,134005.248789539,2.896573127
214479.077378581,134101.775178458,2.889493065
214506.977281801,134487.880734126,2.868237351
214515.414260873,134757.693075286,2.854066875
214517.158056184,134198.301567538,2.882407826
214547.34467258,134584.407123215,2.861152113
214557.525561898,134294.827956288,2.875322588
214573.453225618,134005.248789703,2.889493064
214587.71212572,134680.933512134,2.854066875
214597.892992371,134391.354345377,2.868237351
214610.017227496,134101.775178622,2.882407826
214638.260439445,134487.880734296,2.861152113
214648.441283874,134198.301567538,2.875322588
214655.718332237,134748.115525261,2.846981637
214678.62794966,134584.407123045,2.854066875
214688.808744881,134294.827956457,2.868237351
214704.393175436,134005.248789539,2.882407826
214718.995375637,134680.933512134,2.846981637
214729.176196692,134391.354345376,2.861152113
214740.957147561,134101.775178622,2.875322588
214758.203746213,133908.722400855,2.884750016
214758.203769246,133908.722400855,2.884750015
214758.203790213,133908.722400817,2.884750322
214758.203827009,133908.722400817,2.884750321
214769.543716081,134487.880734126,2.854066875
214779.724525763,134198.301567538,2.868237351
214796.022468411,134738.538015211,2.839896399
214801.14346775,133908.722400793,2.882407826
214809.911128357,134584.407123215,2.846981637
214820.091987095,134294.827956457,2.861152113
214835.333051319,134005.248789703,2.875322588
214850.278589454,134680.933512134,2.839896399
214860.459448092,134391.354345377,2.854066875
214871.89703922,134101.775178622,2.868237351
214900.826909077,134487.880734296,2.846981637
214911.007739483,134198.301567538,2.861152113
214931.047821388,133908.722400793,2.875322588
214936.326489721,134728.960428309,2.832811162
214941.194427211,134584.407123045,2.839896399
214951.37520033,134294.827956457,2.854066875
214966.272957353,134005.248789703,2.868237351
214981.561831641,134680.933512134,2.832811162
214991.74270979,134391.354345207,2.846981637
215002.836959104,134101.775178622,2.861152113
215032.11017142,134487.880734126,2.839896399
215042.290967179,134198.301567538,2.854066875
215060.952189572,133908.722400793,2.868237351
215072.47758397,134584.407123215,2.832811162
215076.630576004,134719.382881449,2.825725924
215082.658474675,134294.827956287,2.846981637
215097.212863034,134005.248789703,2.861152113
215112.845045048,134680.933512134,2.825725924
215123.025889442,134391.354345376,2.839896399
215133.77686488,134101.775178622,2.854066875
215163.393350643,134487.880734296,2.832811162
215164.098008484,133812.196011936,2.868328427
215164.098010118,133812.196011936,2.868328426
215164.098104966,133812.196011897,2.868328731
215165.764647933,133812.196011874,2.868237351
215173.574209462,134198.301567538,2.846981637
215191.58875223,133908.722400784,2.861152113
215203.760811676,134584.407123215,2.825725924
215213.941656302,134294.827956457,2.839896399
215216.934665824,134709.805337163,2.818640686
215228.15276911,134005.248789703,2.854066875
215244.128272779,134680.933512134,2.818640686
215254.309186855,134391.354345207,2.832811162
215264.716756682,134101.775178622,2.846981637
215294.67657828,134487.880734296,2.825725924
215295.669040114,133812.196011874,2.861152113
215304.85743727,134198.301567538,2.839896399
215322.528673003,133908.722400784,2.854066875
215335.044039401,134584.407123215,2.818640686
215345.224925016,134294.827956288,2.832811163
215357.238725862,134700.227782761,2.811555448
215359.092674933,134005.248789703,2.846981637
215375.411514822,134680.933512134,2.811555448
215385.592359047,134391.354345377,2.825725924
215395.773238209,134101.775178449,2.839896399
215425.573394039,133812.196011874,2.854066875
215425.959806296,134487.880734296,2.818640686
215436.140664313,134198.301567538,2.832811162
215453.468564227,133908.722400784,2.846981637
215466.327267292,134584.407123215,2.811555448
215476.508111928,134294.827956457,2.825725924
215490.032581256,134005.248789703,2.839896399
215497.542811997,134690.650235863,2.80447021
215506.694728567,134680.933512134,2.80447021
215516.875572872,134391.354345376,2.818640686
215527.056466235,134101.775178449,2.832811162
215555.477833576,133812.196011726,2.846981637
215557.24303382,134487.880734296,2.811555448
215567.423927586,134198.301567368,2.825725924
215569.992286895,133715.669623016,2.851906837
215569.992324959,133715.669623016,2.851906836
215569.992346217,133715.669622978,2.851907142
215584.408518142,133908.72240062,2.839896399
215597.61054197,134584.407123045,2.80447021
215607.791388398,134294.827956288,2.818640686
215620.972472079,134005.248789703,2.832811162
215637.84690196,134681.072691659,2.797384973
215637.978025742,134680.933511965,2.797384973
215648.15881508,134391.354345376,2.811555448
215658.339692682,134101.775178449,2.825725924
215660.290229881,133715.669622954,2.846981637
215685.382130611,133812.196011874,2.839896399
215688.526276176,134487.880734296,2.80447021
215698.707152996,134198.301567368,2.818640686
215715.348390241,133908.722400783,2.832811162
215728.893763597,134584.407123045,2.797384973
215739.074581596,134294.827956457,2.811555448
215751.912377768,134005.248789703,2.825725924
215778.15101898,134671.495176344,2.790299735
215779.442028393,134391.354345376,2.80447021
215789.622872525,134101.775178619,2.818640686
215790.194598336,133715.669622954,2.839896399
215815.286560887,133812.196011726,2.832811162
215819.809503975,134487.880734296,2.797384973
215829.99034838,134198.301567538,2.811555448
215846.288326642,133908.72240062,2.825725924
215860.176950831,134584.407123215,2.790299735
215870.357846088,134294.827956287,2.80447021
215882.852298015,134005.248789703,2.818640686
215910.708245837,134391.354345207,2.797385891
215918.454168296,134661.917691005,2.783214544
215920.099017492,133715.669622807,2.832811162
215920.906101,134101.775178619,2.811555448
215945.190866874,133812.196011874,2.825725924
215951.092731534,134487.880734296,2.790299735
215961.273562062,134198.301567538,2.80447021
215975.886564769,133619.143234097,2.835485247
215975.886602949,133619.143234097,2.835485246
215975.88661886,133619.143234059,2.835485553
215975.88666089,133619.143234059,2.835485552
215977.22818755,133908.722400783,2.818640686
215991.460168484,134584.407123215,2.783214497
216001.641023136,134294.827956457,2.797384973
216013.792203792,134005.248789703,2.811555448
216024.911550034,133619.143233888,2.832811162
216042.008498335,134391.354345377,2.790299735
216050.003349256,133715.669622954,2.825725924
216052.189345814,134101.775178618,2.80447021
216058.759137956,134652.340046071,2.776129259
216075.095250039,133812.196011874,2.818640686
216082.375945145,134487.880734296,2.783214497
216092.556860426,134198.301567368,2.797384973
216108.168093579,133908.722400784,2.811555448
216122.743406429,134584.407123215,2.776129259
216132.924250989,134294.827956457,2.790299735
216144.73209501,134005.248789703,2.80447021
216154.815800799,133619.143234035,2.825725924
216173.291726318,134391.354345377,2.783214497
216179.907702824,133715.669622954,2.818640686
216183.472556231,134101.775178619,2.797384973
216200.61937603,134643.258807932,2.769044021
216204.999651998,133812.196011726,2.811555448
216213.659173213,134487.880734296,2.776129259
216223.840010944,134198.301567538,2.790299735
216239.108013732,133908.722400784,2.80447021
216256.050254751,134584.407123215,2.769044021
216264.207492782,134294.827956457,2.783214497
216275.67200119,134005.248789703,2.797384973
216284.720186025,133619.143234035,2.818640686
216304.574954115,134391.354345377,2.776129259
216309.812118036,133715.669622807,2.811555448
216314.755784315,134101.775178619,2.790299735
216334.904018134,133812.196011726,2.80447021
216342.608528281,134634.218684143,2.761958784
216346.9660224,134487.880734296,2.769044021
216355.123259392,134198.301567538,2.783214497
216370.047951088,133908.72240062,2.797384973
216381.780858016,133522.616845178,2.819063657
216381.780920555,133522.61684514,2.819063963
216381.780938719,133522.61684514,2.819063962
216389.52475857,134584.407123215,2.761958784
