time_period,source,source_location,destination,destination_location,material,flow_value
0,beneficiation,CN,sulfuric acid digestion,CN,phosphate,2123009.0476158247
0,chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,747193.9542595352
0,chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,914559.5173578971
0,chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,469493.69393394626
0,chemical transformation,US,magnet manufacturing,US,neodynium dysprosium iron alloy,530506.3064431543
0,clay mining,CN,clay refining,CN,ion adsorption clay,151559.0058614984
0,clay refining,CN,metallothermic reduction,CN,neodynium_oxide,62299.8442711925
0,clay refining,CN,metallothermic reduction,CN,dysprosium_oxide,69874.76330152003
0,magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,850464.6660732636
0,magnet manufacturing,US,magnet_market_mix,US,hp_magnet,1000000.0007147256
0,magnet_market_mix,US,use phase,US,hp_magnet,1850464.6676768856
0,metallothermic reduction,CN,chemical transformation,CN,dysprosium,34619.86401216864
0,metallothermic reduction,CN,chemical transformation,US,dysprosium,21043.770004468315
0,mining,CN,beneficiation,CN,monazaite,5946804.054946288
0,mining,CN,chemical transformation,CN,iron,1107835.6483893965
0,mining,US,chemical transformation,US,iron,673400.6738618326
0,molten_salt electrolysis,CN,chemical transformation,CN,neodynium,519297.96018252964
0,molten_salt electrolysis,US,chemical transformation,US,neodynium,315656.5649736064
0,sulfuric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,611183.250084674
0,sulfuric acid digestion,CN,molten_salt electrolysis,CN,dysprosium_oxide,2955.5275254131384
0,sulfuric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,382767.1249616267
0,sulfuric acid digestion,CN,molten_salt electrolysis,US,dysprosium_oxide,1850.9649484585932
0,use phase,US,direct reuse,US,hp_magnet,33817.78595800426
1,beneficiation,CN,sulfuric acid digestion,CN,phosphate,2003788.0844124262
1,chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,652985.3601535505
1,chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,887754.9755787901
1,chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,449878.43113009434
1,chemical transformation,US,magnet manufacturing,US,neodynium dysprosium iron alloy,550121.5692702716
1,clay mining,CN,clay refining,CN,ion adsorption clay,142976.3052592592
1,clay refining,CN,metallothermic reduction,CN,neodynium_oxide,59065.65564998812
1,clay refining,CN,metallothermic reduction,CN,dysprosium_oxide,66247.3553782256
1,direct reuse,US,magnet_market_mix,US,hp_magnet,32126.896660104045
1,magnet manufacturing,JP,magnet_market_mix,US,hp_magnet,774756.2990437543
1,magnet manufacturing,US,magnet_market_mix,US,hp_magnet,1000000.0007155575
1,magnet_market_mix,US,use phase,US,hp_magnet,1806883.1962565035
1,metallothermic reduction,CN,chemical transformation,CN,dysprosium,32098.757014586055
1,metallothermic reduction,CN,chemical transformation,US,dysprosium,20939.07452418814
1,mining,CN,beneficiation,CN,monazaite,5584927.141358824
1,mining,CN,chemical transformation,CN,iron,1027160.2244667535
1,mining,US,chemical transformation,US,iron,670050.4217736959
1,molten_salt electrolysis,CN,chemical transformation,CN,neodynium,481481.3552187907
1,molten_salt electrolysis,US,chemical transformation,US,neodynium,314086.1343072023
1,sulfuric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,563856.24130769
