process,flow,value,unit,input,year,comments,type,process_location,supplying_location,"code (UUID, 3.8)",Ecoinvent selection
Bauxite mining,bauxite,[REDACTED — ecoinvent-licensed value; reproduce via UUID + selection],kg,FALSE,2025,Upstream topology proxy for Bauxite mining node. Selected closest ecoinvent 3.8 bauxite mining activity by match order: no exact/regional/RoW dataset found for AU; using GLO bauxite mine operation. Black-box ecoinvent proxy for topology representation only; do not use in Luo no-burden baseline. Upstream Bayer-route proxy node. Ecoinvent 3.8 bauxite/alumina datasets are used for topology representation and upstream sensitivity only. This is not a physical Bayer_liquor foreground LCI and should not be interpreted as Luo 2025's Bayer-liquor-to-4N_Ga foreground boundary.,production,AU,GLO,d3a39361-831d-424a-9863-ac69ac1f4f8c,bauxite mine operation | bauxite | GLO | kg | ecoinvent 3.8
Bauxite mining,bauxite,[REDACTED — ecoinvent-licensed value; reproduce via UUID + selection],kg,FALSE,2025,Upstream topology proxy for Bauxite mining node. Selected closest ecoinvent 3.8 bauxite mining activity by match order: no exact/regional/RoW dataset found for CN; using GLO bauxite mine operation. Black-box ecoinvent proxy for topology representation only; do not use in Luo no-burden baseline. Upstream Bayer-route proxy node. Ecoinvent 3.8 bauxite/alumina datasets are used for topology representation and upstream sensitivity only. This is not a physical Bayer_liquor foreground LCI and should not be interpreted as Luo 2025's Bayer-liquor-to-4N_Ga foreground boundary.,production,CN,GLO,d3a39361-831d-424a-9863-ac69ac1f4f8c,bauxite mine operation | bauxite | GLO | kg | ecoinvent 3.8
Bauxite mining,bauxite,[REDACTED — ecoinvent-licensed value; reproduce via UUID + selection],kg,FALSE,2025,Upstream topology proxy for Bauxite mining node. Selected closest ecoinvent 3.8 bauxite mining activity by match order: no exact/regional/RoW dataset found for GR; using GLO bauxite mine operation. Black-box ecoinvent proxy for topology representation only; do not use in Luo no-burden baseline. Upstream Bayer-route proxy node. Ecoinvent 3.8 bauxite/alumina datasets are used for topology representation and upstream sensitivity only. This is not a physical Bayer_liquor foreground LCI and should not be interpreted as Luo 2025's Bayer-liquor-to-4N_Ga foreground boundary.,production,GR,GLO,d3a39361-831d-424a-9863-ac69ac1f4f8c,bauxite mine operation | bauxite | GLO | kg | ecoinvent 3.8
Bauxite mining,bauxite,[REDACTED — ecoinvent-licensed value; reproduce via UUID + selection],kg,FALSE,2025,Upstream topology proxy for Bauxite mining node. Selected closest ecoinvent 3.8 bauxite mining activity by match order: no exact/regional/RoW dataset found for KZ; using GLO bauxite mine operation. Black-box ecoinvent proxy for topology representation only; do not use in Luo no-burden baseline. Upstream Bayer-route proxy node. Ecoinvent 3.8 bauxite/alumina datasets are used for topology representation and upstream sensitivity only. This is not a physical Bayer_liquor foreground LCI and should not be interpreted as Luo 2025's Bayer-liquor-to-4N_Ga foreground boundary.,production,KZ,GLO,d3a39361-831d-424a-9863-ac69ac1f4f8c,bauxite mine operation | bauxite | GLO | kg | ecoinvent 3.8
Bayer liquor refining,"electricity, high voltage, production mix",17.23,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP1: ingredient preparation - Electricity; normalization=17.23 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP1: ingredient preparation; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,market for cationic resin,3,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP2: resin adsorption - Chelate resin; normalization=3 kg per 1 kg 4N_Ga; original_flow=Chelate resin; luo_unit_process=UP2: resin adsorption; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - Luo proxy for chelating resin; uuid_note=Luo states chelating resin is not directly available in ecoinvent and uses cationic resin as a proxy.; peer_review_flag=proxy material SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,AU,RoW,455532ae-1a7b-48dc-8474-16dbdc0eea48,market for cationic resin | cationic resin | RoW | kg | ecoinvent 3.8
Bayer liquor refining,"electricity, high voltage, production mix",11.39,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP2: resin adsorption - Electricity; normalization=11.39 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP2: resin adsorption; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",3.27,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP3: resin washing - Electricity; normalization=3.27 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP3: resin washing; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"tap water production, conventional treatment",1860,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP3: resin washing - Water; normalization=1.86 ton converted to 1860 kg per 1 kg 4N_Ga; original_flow=Water; luo_unit_process=UP3: resin washing; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 tap water treatment selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. TAP_WATER_SIGN_CORRECTED_FOR_LIAISON: tap water production input converted from negative physical-source sign to positive technosphere input; wastewater treatment rows remain negative.",technosphere,AU,RoW,6f427cb8-804f-4c6b-b276-ab83bd2464ce,"tap water production, conventional treatment | tap water | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"treatment of wastewater, average, capacity 1E9l/year",-1.86,m3,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP3: resin washing - W2 wastewater; normalization=1.86 ton aqueous waste converted to 1.86 m3 assuming 1000 kg/m3; original_flow=W2 wastewater; luo_unit_process=UP3: resin washing; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - exact proxy with kg/ton to m3 conversion; uuid_note=Matches Luo Table 1 wastewater treatment proxy. Mass quantities converted to m3 assuming aqueous density of 1000 kg/m3. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,AU,RoW,a9f2745f-2e27-44cb-8129-26648d64ce80,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | RoW | m3 | ecoinvent 3.8"
