process,process_location,flow,file_path,raw_rows,profile_rows,status,notes
Bauxite mining,AU,bauxite,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bauxite_mining__AU__bauxite_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bauxite mining,CN,bauxite,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bauxite_mining__CN__bauxite_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bauxite mining,GR,bauxite,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bauxite_mining__GR__bauxite_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bauxite mining,KZ,bauxite,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bauxite_mining__KZ__bauxite_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bayer liquor refining,AU,4N_Ga,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bayer_liquor_refining__AU__4N_Ga_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bayer liquor refining,CA,4N_Ga,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bayer_liquor_refining__CA__4N_Ga_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bayer liquor refining,CN,4N_Ga,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bayer_liquor_refining__CN__4N_Ga_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bayer liquor refining,GR,4N_Ga,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bayer_liquor_refining__GR__4N_Ga_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bayer liquor refining,KZ,4N_Ga,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bayer_liquor_refining__KZ__4N_Ga_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
Bayer liquor refining,US,4N_Ga,LiAISON local masterfile folder/liaison_lcia_results_gallium_topology_expanded_patch_v2/raw/gallium_topology_expanded_patch_v2_total_life_cycle__Bayer_liquor_refining__US__4N_Ga_characterized_inventory.csv,1800,15,profile_generated,Aggregated LiAISON total_life_cycle characterized inventory to one row per substance and TRACI category.
