scope,process,process_location,flow,lcia_method,lcia_category,value,unit,database,raw_file
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Acidification Potential (Ap),0.0,kg SO2-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Ecotoxicity: Freshwater,0.0,CTUe,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Eutrophication Potential,0.0,kg N-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Global Warming Potential (Gwp100),0.0,kg CO2-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Human Toxicity: Carcinogenic,0.0,CTUh,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Ozone Depletion Potential (Odp),0.0,kg CFC-11-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Maximum Incremental Reactivity (Mir),0.0,kg O3-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Human Toxicity: Non-Carcinogenic,0.0,CTUh,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,TRACI2.1,Particulate Matter Formation Potential (Pmfp),0.0,PM2.5-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Agricultural Land Occupation (Lop),0.0,m2*a crop-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Global Warming Potential (Gwp1000),0.0,kg CO2-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Fossil Fuel Potential (Ffp),0.0,kg oil-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Freshwater Ecotoxicity Potential (Fetp),0.0,"kg 1,4-DCB-Eq",premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Freshwater Eutrophication Potential (Fep),0.0,kg P-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Human Toxicity Potential (Htpc),0.0,"kg 1,4-DCB-Eq",premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
Scope1,Bauxite mining,AU,bauxite,RECIPE,Ionising Radiation Potential (Irp),0.0,kg Co-60-Eq,premise_updated_ecoinvent_2020,LiAISON patch-v2 raw/gallium_topology_expanded_patch_v2_Scope1__Bauxite_mining__AU__bauxite.csv
