analyzed_process,analyzed_process_location,flow_name,flow_category,flow_subcategory,flow_unit,flow_uuid,amount,num_contributing_activities,source_process,source_material,lcia_method,lcia_category,profile_basis,raw_contribution_rows,num_contributing_regions
Bauxite mining__bauxite,AU,Nitrogen oxides (acidification potential (AP)),characterized inventory / acidification potential (AP),total_life_cycle aggregated background activities,kg SO2-Eq,02a3a7ea-f847-588d-8799-97cdb1230bba,0.00011954311915241607,49,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Acidification Potential (Ap),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,32
Bauxite mining__bauxite,AU,"1,2-Dichlorobenzene (ecotoxicity: freshwater)",characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,5839a091-a23a-5bd3-991d-887c6b2d2865,0.0018766197964045692,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,94,7
Bauxite mining__bauxite,AU,Iprodione (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,6b93d7ce-5da1-5dfd-b2ab-0b35cfe29ec8,0.0428212380158405,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,4
Bauxite mining__bauxite,AU,Nitrogen dioxide (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,4fd2daf0-bf9d-5407-a181-39cea8374518,0.004370655103908204,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,60,5
Bauxite mining__bauxite,AU,Nitrogen oxides (eutrophication potential),characterized inventory / eutrophication potential,total_life_cycle aggregated background activities,kg N-Eq,d83aa832-3689-5052-8e9a-40e14ec4a94c,1.6139667501827445e-05,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Eutrophication Potential,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,28
Bauxite mining__bauxite,AU,Dinitrogen monoxide (global warming potential (GWP100)),characterized inventory / global warming potential (GWP100),total_life_cycle aggregated background activities,kg CO2-Eq,5c6d8e42-cc34-517a-a976-7f6f92a4bb82,0.011737687355425621,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Global Warming Potential (Gwp100),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,38
Bauxite mining__bauxite,AU,Arsenic ion (human toxicity: carcinogenic),characterized inventory / human toxicity: carcinogenic,total_life_cycle aggregated background activities,CTUh,f8afb814-e205-5d6b-bf23-a322bb8e16d7,4.1086949522734725e-10,18,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,13
Bauxite mining__bauxite,AU,"1,2-Dichlorobenzene (human toxicity: non-carcinogenic)",characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,4ddaa5b0-d858-5a3f-9388-b74e170052d0,1.6565224126661725e-10,10,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,123,7
Bauxite mining__bauxite,AU,Imidacloprid (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,e694e77d-e9bf-5411-bc52-38d0a56e26b5,1.5066024003373425e-11,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,31,4
Bauxite mining__bauxite,AU,Iprodione (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,ce580acd-69cb-57dd-b8dd-3947c4f0403e,1.3224322540720766e-09,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,6
Bauxite mining__bauxite,AU,Nitrogen oxides (maximum incremental reactivity (MIR)),characterized inventory / maximum incremental reactivity (MIR),total_life_cycle aggregated background activities,kg O3-Eq,35bd0f17-9b98-5655-bad2-dd4586c3eaac,0.0026770293023446884,25,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Maximum Incremental Reactivity (Mir),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,17
Bauxite mining__bauxite,AU,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,ba2f2fce-cd25-507e-a2c3-dd1697d14b90,1.971447751103211e-09,13,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,85,11
Bauxite mining__bauxite,AU,"Methane, monochloro-, R-40 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,1b21ddfb-4b2f-57c4-a4b6-76b044422f1f,2.208087159185159e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,69,4
Bauxite mining__bauxite,AU,"Methane, tetrachloro-, R-10 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,17ef99da-4b3b-570b-a561-1d9ea5b1ec2a,4.573472994125852e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,7
Bauxite mining__bauxite,AU,"Particulate Matter, > 2.5 um and < 10um (particulate matter formation potential (PMFP))",characterized inventory / particulate matter formation potential (PMFP),total_life_cycle aggregated background activities,PM2.5-Eq,6a861eea-97ae-5ee4-acda-8df573313472,2.3918278413212722e-05,38,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Particulate Matter Formation Potential (Pmfp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,26
Bauxite mining__bauxite,CN,Nitrogen oxides (acidification potential (AP)),characterized inventory / acidification potential (AP),total_life_cycle aggregated background activities,kg SO2-Eq,df7a03f4-edb0-527b-8aaa-7cd536cfb39b,0.00011954311915241607,49,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Acidification Potential (Ap),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,32
Bauxite mining__bauxite,CN,"1,2-Dichlorobenzene (ecotoxicity: freshwater)",characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,237844f5-e1fd-5c38-aecd-a4edb8af723b,0.0018766197964045692,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,94,7
Bauxite mining__bauxite,CN,Iprodione (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,be129387-da05-55f6-9250-669fc163b2a2,0.0428212380158405,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,4
Bauxite mining__bauxite,CN,Nitrogen dioxide (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,5ed0e12b-abe2-55cf-a1d8-51e02f224eee,0.004370655103908204,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,60,5
Bauxite mining__bauxite,CN,Nitrogen oxides (eutrophication potential),characterized inventory / eutrophication potential,total_life_cycle aggregated background activities,kg N-Eq,9156eb7c-31ae-50f0-b8d9-f17fe4728d1c,1.6139667501827445e-05,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Eutrophication Potential,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,28
Bauxite mining__bauxite,CN,Dinitrogen monoxide (global warming potential (GWP100)),characterized inventory / global warming potential (GWP100),total_life_cycle aggregated background activities,kg CO2-Eq,5d39f0eb-4fac-5f03-89a0-c05b94418275,0.011737687355425621,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Global Warming Potential (Gwp100),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,38
Bauxite mining__bauxite,CN,Arsenic ion (human toxicity: carcinogenic),characterized inventory / human toxicity: carcinogenic,total_life_cycle aggregated background activities,CTUh,3024d87a-3d71-5bd8-9162-2539cc3ab0b2,4.1086949522734725e-10,18,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,13
Bauxite mining__bauxite,CN,"1,2-Dichlorobenzene (human toxicity: non-carcinogenic)",characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,98ece26a-2538-598c-a701-e1590ca81643,1.6565224126661725e-10,10,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,123,7
Bauxite mining__bauxite,CN,Imidacloprid (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,712538ed-125e-5026-ad5f-84a386147eae,1.5066024003373425e-11,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,31,4
Bauxite mining__bauxite,CN,Iprodione (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,1e54d41d-a475-5206-bed3-1fd3a0ac0ff0,1.3224322540720766e-09,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,6
