source_process,analyzed_process_location,source_material,profile_rows,total_abs_amount,methods
Bauxite mining,AU,bauxite,15,0.06364283452513696,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bauxite mining,CN,bauxite,15,0.06364283452513696,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bauxite mining,GR,bauxite,15,0.06364283452513696,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bauxite mining,KZ,bauxite,15,0.06364283452513696,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer liquor refining,AU,4N_Ga,15,3587.1565303038074,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer liquor refining,CA,4N_Ga,15,2875.553446154487,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer liquor refining,CN,4N_Ga,15,3101.112745187325,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer liquor refining,GR,4N_Ga,15,4010.3181014655447,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer liquor refining,KZ,4N_Ga,15,3241.147375407396,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer liquor refining,US,4N_Ga,15,2742.315650813905,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
Bayer process / alumina refining,AU,Bayer_liquor,15,121.42859780422864,Acidification Potential (Ap); Ecotoxicity: Freshwater; Eutrophication Potential; Global Warming Potential (Gwp100); Human Toxicity: Carcinogenic; Human Toxicity: Non-Carcinogenic; Maximum Incremental Reactivity (Mir); Ozone Depletion Potential (Odp); Particulate Matter Formation Potential (Pmfp)
