time_period,source,location,material,SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
0,Bauxite mining,AU,bauxite,8.32e-07,8.32e-07,8.32e-07,8.32e-06,
1,Bauxite mining,AU,bauxite,8.32e-07,8.32e-07,8.32e-07,8.32e-06,
2,Bauxite mining,AU,bauxite,8.32e-07,8.32e-07,8.32e-07,8.32e-06,
3,Bauxite mining,AU,bauxite,8.32e-07,8.32e-07,8.32e-07,8.32e-06,
4,Bauxite mining,AU,bauxite,8.32e-07,8.32e-07,8.32e-07,8.32e-06,
5,Bauxite mining,AU,bauxite,8.32e-07,8.32e-07,8.32e-07,8.32e-06,
0,Bauxite mining,CN,bauxite,7.46e-07,7.46e-06,7.46e-07,7.46e-07,
1,Bauxite mining,CN,bauxite,7.46e-07,7.46e-06,7.46e-07,7.46e-07,
2,Bauxite mining,CN,bauxite,7.46e-07,7.46e-06,7.46e-07,7.46e-07,
3,Bauxite mining,CN,bauxite,7.46e-07,7.46e-06,7.46e-07,7.46e-07,
4,Bauxite mining,CN,bauxite,7.46e-07,7.46e-06,7.46e-07,7.46e-07,
5,Bauxite mining,CN,bauxite,7.46e-07,7.46e-06,7.46e-07,7.46e-07,
0,Bauxite mining,GR,bauxite,8.23e-09,8.23e-08,8.23e-09,8.23e-09,
1,Bauxite mining,GR,bauxite,8.23e-09,8.23e-08,8.23e-09,8.23e-09,
2,Bauxite mining,GR,bauxite,8.23e-09,8.23e-08,8.23e-09,8.23e-09,
3,Bauxite mining,GR,bauxite,8.23e-09,8.23e-08,8.23e-09,8.23e-09,
4,Bauxite mining,GR,bauxite,8.23e-09,8.23e-08,8.23e-09,8.23e-09,
5,Bauxite mining,GR,bauxite,8.23e-09,8.23e-08,8.23e-09,8.23e-09,
0,Bauxite mining,KZ,bauxite,4.12e-08,4.12e-06,4.12e-08,4.12e-08,
1,Bauxite mining,KZ,bauxite,4.12e-08,4.12e-06,4.12e-08,4.12e-08,
2,Bauxite mining,KZ,bauxite,4.12e-08,4.12e-06,4.12e-08,4.12e-08,
3,Bauxite mining,KZ,bauxite,4.12e-08,4.12e-06,4.12e-08,4.12e-08,
4,Bauxite mining,KZ,bauxite,4.12e-08,4.12e-06,4.12e-08,4.12e-08,
5,Bauxite mining,KZ,bauxite,4.12e-08,4.12e-06,4.12e-08,4.12e-08,
0,Bayer liquor refining,AU,4N_Ga,0.003771992,0.003771992,0.003771992,0.037719916,
1,Bayer liquor refining,AU,4N_Ga,0.003771992,0.003771992,0.003771992,0.037719916,
2,Bayer liquor refining,AU,4N_Ga,0.003771992,0.003771992,0.003771992,0.037719916,
3,Bayer liquor refining,AU,4N_Ga,0.003771992,0.003771992,0.003771992,0.037719916,
4,Bayer liquor refining,AU,4N_Ga,0.003771992,0.003771992,0.003771992,0.037719916,
5,Bayer liquor refining,AU,4N_Ga,0.003771992,0.003771992,0.003771992,0.037719916,
0,Bayer liquor refining,CA,4N_Ga,0.00015088,0.00015088,0.00015088,0.015087965,
1,Bayer liquor refining,CA,4N_Ga,0.00015088,0.00015088,0.00015088,0.015087965,
2,Bayer liquor refining,CA,4N_Ga,0.00015088,0.00015088,0.00015088,0.015087965,
3,Bayer liquor refining,CA,4N_Ga,0.00015088,0.00015088,0.00015088,0.015087965,
4,Bayer liquor refining,CA,4N_Ga,0.00015088,0.00015088,0.00015088,0.015087965,
5,Bayer liquor refining,CA,4N_Ga,0.00015088,0.00015088,0.00015088,0.015087965,
0,Bayer liquor refining,CN,4N_Ga,0.054316678,0.543166784,0.054316678,0.054316678,
1,Bayer liquor refining,CN,4N_Ga,0.054316678,0.543166784,0.054316678,0.054316678,
2,Bayer liquor refining,CN,4N_Ga,0.054316678,0.543166784,0.054316678,0.054316678,
3,Bayer liquor refining,CN,4N_Ga,0.054316678,0.543166784,0.054316678,0.054316678,
4,Bayer liquor refining,CN,4N_Ga,0.054316678,0.543166784,0.054316678,0.054316678,
5,Bayer liquor refining,CN,4N_Ga,0.054316678,0.543166784,0.054316678,0.054316678,
0,Bayer liquor refining,GR,4N_Ga,0.001885996,0.018859958,0.001885996,0.001885996,
1,Bayer liquor refining,GR,4N_Ga,0.001885996,0.018859958,0.001885996,0.001885996,
2,Bayer liquor refining,GR,4N_Ga,0.001885996,0.018859958,0.001885996,0.001885996,
3,Bayer liquor refining,GR,4N_Ga,0.001885996,0.018859958,0.001885996,0.001885996,
4,Bayer liquor refining,GR,4N_Ga,0.001885996,0.018859958,0.001885996,0.001885996,
5,Bayer liquor refining,GR,4N_Ga,0.001885996,0.018859958,0.001885996,0.001885996,
0,Bayer liquor refining,KZ,4N_Ga,0.000565799,0.056579876,0.000565799,0.000565799,
1,Bayer liquor refining,KZ,4N_Ga,0.000565799,0.056579876,0.000565799,0.000565799,
2,Bayer liquor refining,KZ,4N_Ga,0.000565799,0.056579876,0.000565799,0.000565799,
3,Bayer liquor refining,KZ,4N_Ga,0.000565799,0.056579876,0.000565799,0.000565799,
4,Bayer liquor refining,KZ,4N_Ga,0.000565799,0.056579876,0.000565799,0.000565799,
5,Bayer liquor refining,KZ,4N_Ga,0.000565799,0.056579876,0.000565799,0.000565799,
0,Bayer liquor refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
1,Bayer liquor refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
2,Bayer liquor refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
3,Bayer liquor refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
4,Bayer liquor refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
5,Bayer liquor refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
0,Bayer process / alumina refining,AU,Bayer_liquor,2.34e-07,2.34e-07,2.34e-07,2.34e-06,
1,Bayer process / alumina refining,AU,Bayer_liquor,2.34e-07,2.34e-07,2.34e-07,2.34e-06,
2,Bayer process / alumina refining,AU,Bayer_liquor,2.34e-07,2.34e-07,2.34e-07,2.34e-06,
3,Bayer process / alumina refining,AU,Bayer_liquor,2.34e-07,2.34e-07,2.34e-07,2.34e-06,
4,Bayer process / alumina refining,AU,Bayer_liquor,2.34e-07,2.34e-07,2.34e-07,2.34e-06,
5,Bayer process / alumina refining,AU,Bayer_liquor,2.34e-07,2.34e-07,2.34e-07,2.34e-06,
0,Bayer process / alumina refining,CA,Bayer_liquor,2.07e-08,2.07e-08,2.07e-08,2.07e-06,
1,Bayer process / alumina refining,CA,Bayer_liquor,2.07e-08,2.07e-08,2.07e-08,2.07e-06,
2,Bayer process / alumina refining,CA,Bayer_liquor,2.07e-08,2.07e-08,2.07e-08,2.07e-06,
3,Bayer process / alumina refining,CA,Bayer_liquor,2.07e-08,2.07e-08,2.07e-08,2.07e-06,
4,Bayer process / alumina refining,CA,Bayer_liquor,2.07e-08,2.07e-08,2.07e-08,2.07e-06,
5,Bayer process / alumina refining,CA,Bayer_liquor,2.07e-08,2.07e-08,2.07e-08,2.07e-06,
0,Bayer process / alumina refining,CN,Bayer_liquor,1.28e-06,1.28e-05,1.28e-06,1.28e-06,
1,Bayer process / alumina refining,CN,Bayer_liquor,1.28e-06,1.28e-05,1.28e-06,1.28e-06,
2,Bayer process / alumina refining,CN,Bayer_liquor,1.28e-06,1.28e-05,1.28e-06,1.28e-06,
3,Bayer process / alumina refining,CN,Bayer_liquor,1.28e-06,1.28e-05,1.28e-06,1.28e-06,
4,Bayer process / alumina refining,CN,Bayer_liquor,1.28e-06,1.28e-05,1.28e-06,1.28e-06,
5,Bayer process / alumina refining,CN,Bayer_liquor,1.28e-06,1.28e-05,1.28e-06,1.28e-06,
0,Bayer process / alumina refining,GR,Bayer_liquor,1.17e-08,1.17e-07,1.17e-08,1.17e-08,
1,Bayer process / alumina refining,GR,Bayer_liquor,1.17e-08,1.17e-07,1.17e-08,1.17e-08,
2,Bayer process / alumina refining,GR,Bayer_liquor,1.17e-08,1.17e-07,1.17e-08,1.17e-08,
3,Bayer process / alumina refining,GR,Bayer_liquor,1.17e-08,1.17e-07,1.17e-08,1.17e-08,
4,Bayer process / alumina refining,GR,Bayer_liquor,1.17e-08,1.17e-07,1.17e-08,1.17e-08,
5,Bayer process / alumina refining,GR,Bayer_liquor,1.17e-08,1.17e-07,1.17e-08,1.17e-08,
0,Bayer process / alumina refining,KZ,Bayer_liquor,2.07e-08,2.07e-06,2.07e-08,2.07e-08,
1,Bayer process / alumina refining,KZ,Bayer_liquor,2.07e-08,2.07e-06,2.07e-08,2.07e-08,
2,Bayer process / alumina refining,KZ,Bayer_liquor,2.07e-08,2.07e-06,2.07e-08,2.07e-08,
3,Bayer process / alumina refining,KZ,Bayer_liquor,2.07e-08,2.07e-06,2.07e-08,2.07e-08,
4,Bayer process / alumina refining,KZ,Bayer_liquor,2.07e-08,2.07e-06,2.07e-08,2.07e-08,
5,Bayer process / alumina refining,KZ,Bayer_liquor,2.07e-08,2.07e-06,2.07e-08,2.07e-08,
0,Bayer process / alumina refining,US,Bayer_liquor,9.78e-09,9.78e-09,9.78e-09,9.78e-07,
1,Bayer process / alumina refining,US,Bayer_liquor,9.78e-09,9.78e-09,9.78e-09,9.78e-07,
2,Bayer process / alumina refining,US,Bayer_liquor,9.78e-09,9.78e-09,9.78e-09,9.78e-07,
3,Bayer process / alumina refining,US,Bayer_liquor,9.78e-09,9.78e-09,9.78e-09,9.78e-07,
4,Bayer process / alumina refining,US,Bayer_liquor,9.78e-09,9.78e-09,9.78e-09,9.78e-07,
5,Bayer process / alumina refining,US,Bayer_liquor,9.78e-09,9.78e-09,9.78e-09,9.78e-07,
0,High-purity gallium refining,CA,6N_Ga,0.0,0.0,0.0,0.0,0.0
1,High-purity gallium refining,CA,6N_Ga,0.0,0.0,0.0,0.0,0.0
2,High-purity gallium refining,CA,6N_Ga,0.0,0.0,0.0,0.0,0.0
3,High-purity gallium refining,CA,6N_Ga,0.0,0.0,0.0,0.0,0.0
4,High-purity gallium refining,CA,6N_Ga,0.0,0.0,0.0,0.0,0.0
5,High-purity gallium refining,CA,6N_Ga,0.0,0.0,0.0,0.0,0.0
0,High-purity gallium refining,CN,6N_Ga,0.071481494,0.714814939,0.071481494,0.071481494,
1,High-purity gallium refining,CN,6N_Ga,0.071481494,0.714814939,0.071481494,0.071481494,
2,High-purity gallium refining,CN,6N_Ga,0.071481494,0.714814939,0.071481494,0.071481494,
3,High-purity gallium refining,CN,6N_Ga,0.071481494,0.714814939,0.071481494,0.071481494,
4,High-purity gallium refining,CN,6N_Ga,0.071481494,0.714814939,0.071481494,0.071481494,
5,High-purity gallium refining,CN,6N_Ga,0.071481494,0.714814939,0.071481494,0.071481494,
0,High-purity gallium refining,JP,6N_Ga,0.000670139,0.000670139,0.000670139,0.000670139,
1,High-purity gallium refining,JP,6N_Ga,0.000670139,0.000670139,0.000670139,0.000670139,
2,High-purity gallium refining,JP,6N_Ga,0.000670139,0.000670139,0.000670139,0.000670139,
3,High-purity gallium refining,JP,6N_Ga,0.000670139,0.000670139,0.000670139,0.000670139,
4,High-purity gallium refining,JP,6N_Ga,0.000670139,0.000670139,0.000670139,0.000670139,
5,High-purity gallium refining,JP,6N_Ga,0.000670139,0.000670139,0.000670139,0.000670139,
0,High-purity gallium refining,US,6N_Ga,0.002233797,0.002233797,0.002233797,0.223379668,
1,High-purity gallium refining,US,6N_Ga,0.002233797,0.002233797,0.002233797,0.223379668,
2,High-purity gallium refining,US,6N_Ga,0.002233797,0.002233797,0.002233797,0.223379668,
3,High-purity gallium refining,US,6N_Ga,0.002233797,0.002233797,0.002233797,0.223379668,
4,High-purity gallium refining,US,6N_Ga,0.002233797,0.002233797,0.002233797,0.223379668,
5,High-purity gallium refining,US,6N_Ga,0.002233797,0.002233797,0.002233797,0.223379668,
0,New manufacturing scrap recovery,CA,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
1,New manufacturing scrap recovery,CA,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
2,New manufacturing scrap recovery,CA,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
3,New manufacturing scrap recovery,CA,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
4,New manufacturing scrap recovery,CA,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
5,New manufacturing scrap recovery,CA,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
0,New manufacturing scrap recovery,CN,6N_Ga,0.012839781,0.128397815,0.012839781,0.012839781,
1,New manufacturing scrap recovery,CN,6N_Ga,0.012839781,0.128397815,0.012839781,0.012839781,
2,New manufacturing scrap recovery,CN,6N_Ga,0.012839781,0.128397815,0.012839781,0.012839781,
3,New manufacturing scrap recovery,CN,6N_Ga,0.012839781,0.128397815,0.012839781,0.012839781,
4,New manufacturing scrap recovery,CN,6N_Ga,0.012839781,0.128397815,0.012839781,0.012839781,
5,New manufacturing scrap recovery,CN,6N_Ga,0.012839781,0.128397815,0.012839781,0.012839781,
0,New manufacturing scrap recovery,JP,6N_Ga,0.007703869,0.007703869,0.007703869,0.007703869,
1,New manufacturing scrap recovery,JP,6N_Ga,0.007703869,0.007703869,0.007703869,0.007703869,
2,New manufacturing scrap recovery,JP,6N_Ga,0.007703869,0.007703869,0.007703869,0.007703869,
3,New manufacturing scrap recovery,JP,6N_Ga,0.007703869,0.007703869,0.007703869,0.007703869,
4,New manufacturing scrap recovery,JP,6N_Ga,0.007703869,0.007703869,0.007703869,0.007703869,
5,New manufacturing scrap recovery,JP,6N_Ga,0.007703869,0.007703869,0.007703869,0.007703869,
0,New manufacturing scrap recovery,KR,6N_Ga,0.002567956,0.002567956,0.002567956,0.002567956,
1,New manufacturing scrap recovery,KR,6N_Ga,0.002567956,0.002567956,0.002567956,0.002567956,
2,New manufacturing scrap recovery,KR,6N_Ga,0.002567956,0.002567956,0.002567956,0.002567956,
3,New manufacturing scrap recovery,KR,6N_Ga,0.002567956,0.002567956,0.002567956,0.002567956,
4,New manufacturing scrap recovery,KR,6N_Ga,0.002567956,0.002567956,0.002567956,0.002567956,
5,New manufacturing scrap recovery,KR,6N_Ga,0.002567956,0.002567956,0.002567956,0.002567956,
0,New manufacturing scrap recovery,US,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
1,New manufacturing scrap recovery,US,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
2,New manufacturing scrap recovery,US,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
3,New manufacturing scrap recovery,US,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
4,New manufacturing scrap recovery,US,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
5,New manufacturing scrap recovery,US,6N_Ga,0.006419891,0.006419891,0.006419891,0.641989075,
0,TMG synthesis,CN,TMG,0.004263079,0.042630794,0.004263079,0.004263079,
1,TMG synthesis,CN,TMG,0.004263079,0.042630794,0.004263079,0.004263079,
2,TMG synthesis,CN,TMG,0.004263079,0.042630794,0.004263079,0.004263079,
3,TMG synthesis,CN,TMG,0.004263079,0.042630794,0.004263079,0.004263079,
4,TMG synthesis,CN,TMG,0.004263079,0.042630794,0.004263079,0.004263079,
5,TMG synthesis,CN,TMG,0.004263079,0.042630794,0.004263079,0.004263079,
0,TMG synthesis,JP,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
1,TMG synthesis,JP,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
2,TMG synthesis,JP,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
