time_period,source,location,material,EF_weighted__Global Warming Potential (Gwp1000),EF_RECIPE__Agricultural Land Occupation (Lop),EF_RECIPE__Fossil Fuel Potential (Ffp),EF_RECIPE__Freshwater Ecotoxicity Potential (Fetp),EF_RECIPE__Freshwater Eutrophication Potential (Fep),EF_RECIPE__Global Warming Potential (Gwp1000),EF_RECIPE__Human Toxicity Potential (Htpc),EF_RECIPE__Human Toxicity Potential (Htpnc),EF_RECIPE__Ionising Radiation Potential (Irp),EF_RECIPE__Marine Ecotoxicity Potential (Metp),EF_RECIPE__Marine Eutrophication Potential (Mep),EF_RECIPE__Ozone Depletion Potential (Odpinfinite),EF_RECIPE__Particulate Matter Formation Potential (Pmfp),EF_RECIPE__Photochemical Oxidant Formation Potential: Ecosystems (Eofp),EF_RECIPE__Photochemical Oxidant Formation Potential: Humans (Hofp),EF_RECIPE__Surplus Ore Potential (Sop),EF_RECIPE__Terrestrial Acidification Potential (Tap),EF_RECIPE__Terrestrial Ecotoxicity Potential (Tetp),EF_RECIPE__Water Consumption Potential (Wcp),EF_IW__Adaptation to resources services loss (beta),"EF_IW__Climate change, long term, CO2 uptake","EF_IW__Climate change, long term, biogenic","EF_IW__Climate change, long term, fossil","EF_IW__Climate change, long term, land transformation","EF_IW__Climate change, short term, CO2 uptake","EF_IW__Climate change, short term, biogenic","EF_IW__Climate change, short term, fossil","EF_IW__Climate change, short term, land transformation",EF_IW__Fossil and nuclear energy use,EF_IW__Freshwater acidification,EF_IW__Freshwater ecotoxicity,EF_IW__Freshwater eutrophication,EF_IW__Human toxicity cancer,EF_IW__Human toxicity non-cancer,EF_IW__Ionizing radiations,"EF_IW__Land occupation, biodiversity","EF_IW__Land transformation, biodiversity",EF_IW__Marine eutrophication,EF_IW__Mineral resources use,EF_IW__Ozone layer depletion,EF_IW__Particulate matter formation,EF_IW__Photochemical ozone formation,EF_IW__Resources services deficit (beta),EF_IW__Terrestrial acidification,EF_IW__Water scarcity,EF_TRACI__Acidification Potential (Ap),EF_TRACI__Ecotoxicity: Freshwater,EF_TRACI__Eutrophication Potential,EF_TRACI__Global Warming Potential (Gwp100),EF_TRACI__Human Toxicity: Carcinogenic,EF_TRACI__Human Toxicity: Non-Carcinogenic,EF_TRACI__Maximum Incremental Reactivity (Mir),EF_TRACI__Ozone Depletion Potential (Odp),EF_TRACI__Particulate Matter Formation Potential (Pmfp),SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
0,beneficiation,AU,flurocarbonate,0.593661098,0.374074271,0.166122169,0.040729897,0.000611379,0.593661098,0.108992864,1.010773525,0.011391336,0.057944439,4.21E-05,2.32E-07,0.000770681,0.001464161,0.001415615,0.021763067,0.002504035,8.436430292,0.003232621,-15.91516681,-12.46283724,0.013605112,0.540127071,0.000240432,-12.46283724,0.014221564,0.568709908,0.000240608,7.85628534,0.002291881,321.0430502,8.04E-05,2.00E-09,5.52E-08,1.496397471,0.838341515,8.91E-05,6.61E-05,0.011019705,1.45E-08,0.000299563,0.001412573,7.98E-05,0.002584603,0.655096545,0.003226091,14.98848681,0.005987682,0.57866583,1.55E-07,2.52E-07,0.034804949,1.30E-08,0.000255847,2.59E-05,2.59E-05,2.59E-05,0.000259219,-0.000259219
0,beneficiation,BR,flurocarbonate,0.40306374,0.374055882,0.110680707,0.027195618,0.000108934,0.40306374,0.075855993,0.455170522,0.018346987,0.039231269,1.16E-05,3.71E-07,0.000512853,0.0010051,0.000956015,0.02156457,0.001650347,8.192467611,0.011997021,-16.29212902,-12.46609501,0.019881856,0.324727469,0.009195155,-12.46609501,0.029475922,0.351712865,0.009195332,5.486586886,0.001428801,297.8288813,7.99E-05,1.81E-09,4.05E-08,2.304663567,0.846650403,0.000108046,5.17E-05,0.010995561,1.55E-08,0.00024727,0.000952916,7.01E-05,0.001692206,1.003927152,0.002181929,11.17184773,0.002090033,0.385316128,1.07E-07,1.24E-07,0.023391786,1.38E-08,0.000197345,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CA,flurocarbonate,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CN,flurocarbonate,0.690411351,0.377169878,0.157381485,0.031171915,0.000160322,0.690411351,0.107673424,0.686077242,0.028806456,0.044873323,1.40E-05,2.26E-07,0.000725081,0.001229374,0.001184108,0.021961483,0.002009638,8.573925154,0.003555599,-15.86564191,-12.46551571,0.014671752,0.593769945,0.000230353,-12.46551571,0.015295511,0.652900571,0.000230548,7.790042728,0.001794657,375.5354515,8.18E-05,2.14E-09,5.36E-08,3.638362042,0.844050962,0.000125951,5.90E-05,0.011254443,1.33E-08,0.000520265,0.001181012,7.46E-05,0.002071763,0.672031594,0.002699336,13.08721312,0.002987141,0.65940133,1.52E-07,1.96E-07,0.029113586,1.19E-08,0.000330705,0.000162012,0.001620119,0.000162012,0.000162012,-0.001620119
0,beneficiation,EE,flurocarbonate,0.70459731,0.375379069,0.189270115,0.042110396,0.000650452,0.70459731,0.11463831,1.11231229,0.062151808,0.059976572,4.51E-05,2.23E-07,0.00120981,0.001536523,0.001483326,0.022126578,0.003920993,8.782526018,0.005539097,-15.79710898,-12.47312549,0.024481773,0.628595919,0.000293855,-12.47312549,0.025119752,0.665609503,0.000294068,9.856346342,0.003708746,327.9046827,8.03E-05,2.11E-09,6.69E-08,8.554091904,0.840426377,9.80E-05,6.86E-05,0.011402401,1.45E-08,0.000405066,0.001480364,8.28E-05,0.004006875,1.038176138,0.004673136,15.49405653,0.006384851,0.685161485,1.63E-07,2.90E-07,0.036464641,1.30E-08,0.000373895,Not available,Not available,Not available,Not available,Not available
0,beneficiation,JP,flurocarbonate,0.606828421,0.3748213,0.16357376,0.029059343,0.000159812,0.606828421,0.082797165,0.526964377,0.031582652,0.042083666,1.65E-05,2.40E-07,0.000663138,0.001393641,0.001335461,0.022402965,0.002132023,8.73387936,0.003496121,-16.02784943,-12.48310046,0.035754211,0.514806169,0.000256928,-12.48310046,0.036382893,0.555239588,0.000257147,8.169099378,0.001918735,314.490274,8.02E-05,1.96E-09,5.10E-08,4.411071314,0.839826102,9.65E-05,6.42E-05,0.011453907,1.67E-08,0.000285528,0.001332632,7.58E-05,0.002204917,0.665825978,0.002805245,11.7385844,0.002481381,0.585632089,1.17E-07,1.48E-07,0.032745798,1.50E-08,0.000232823,Not available,Not available,Not available,Not available,Not available
0,beneficiation,MM,flurocarbonate,0.64090689,0.37559128,0.172399233,0.033331835,0.000296637,0.64090689,0.100368538,0.744669797,0.011366509,0.047916025,2.57E-05,2.35E-07,0.000694857,0.001329034,0.001275751,0.021852007,0.00224099,8.478764174,0.005045647,-15.89902507,-12.46670347,0.01757352,0.573058905,0.002011099,-12.46670347,0.020022156,0.606167265,0.002011304,8.197270031,0.002027061,316.0875903,8.12E-05,2.03E-09,5.12E-08,1.493149885,0.841811282,0.000107126,6.56E-05,0.01110785,1.81E-08,0.000282171,0.00127285,7.53E-05,0.002309541,0.726413172,0.002926569,13.21621994,0.003772938,0.622757926,1.42E-07,1.98E-07,0.031297513,1.64E-08,0.000240607,0.000259219,0.025921902,2.59E-05,2.59E-05,-2.59E-05
0,beneficiation,MY,flurocarbonate,0.64090689,0.37559128,0.172399233,0.033331835,0.000296637,0.64090689,0.100368538,0.744669797,0.011366509,0.047916025,2.57E-05,2.35E-07,0.000694857,0.001329034,0.001275751,0.021852007,0.00224099,8.478764174,0.005045647,-15.89902507,-12.46670347,0.01757352,0.573058905,0.002011099,-12.46670347,0.020022156,0.606167265,0.002011304,8.197270031,0.002027061,316.0875903,8.12E-05,2.03E-09,5.12E-08,1.493149885,0.841811282,0.000107126,6.56E-05,0.01110785,1.81E-08,0.000282171,0.00127285,7.53E-05,0.002309541,0.726413172,0.002926569,13.21621994,0.003772938,0.622757926,1.42E-07,1.98E-07,0.031297513,1.64E-08,0.000240607,Not available,Not available,Not available,Not available,Not available
0,beneficiation,US,flurocarbonate,0.549631098,0.374220197,0.158763601,0.033066874,0.000314653,0.549631098,0.091704864,0.693371756,0.067341341,0.047420713,2.43E-05,2.35E-07,0.000648899,0.001331233,0.001272185,0.022114466,0.001967206,8.544935059,0.003609619,-16.04249433,-12.46955574,0.021292923,0.482652325,0.00023812,-12.46955574,0.021916925,0.515476711,0.0002383,8.599714605,0.001749965,331.6933937,8.02E-05,1.93E-09,4.90E-08,8.917623248,0.838726208,9.26E-05,6.12E-05,0.011368092,1.41E-08,0.000269428,0.001269273,7.74E-05,0.002034408,0.677738833,0.002626226,12.85420082,0.003672692,0.532422866,1.30E-07,1.81E-07,0.03116134,1.26E-08,0.000257938,2.16E-06,2.16E-06,2.16E-06,0.000216016,-2.16E-05
0,beneficiation,AU,phosphate,0.202385493,0.030783748,0.041074614,0.018304633,0.000187281,0.202385493,0.043577605,0.424103668,0.003693724,0.024449109,4.81E-05,2.34E-07,0.000309635,0.000378179,0.000367367,0.018954704,0.000922632,3.608781357,0.003058772,0.27501636,-0.033796503,0.012913128,0.157862452,0.020466696,-0.033796503,0.013543564,0.165298603,0.020611264,1.952363686,0.000943498,327.3317558,1.02E-05,1.31E-09,2.52E-08,0.529717513,0.035152324,0.000219696,1.91E-05,0.007164696,5.77E-09,0.000110314,0.000368029,3.85E-05,0.000991589,0.851350724,0.001063771,6.162389855,0.001831485,0.198420924,6.16E-08,1.00E-07,0.009131785,5.03E-09,0.001107167,2.59E-05,2.59E-05,2.59E-05,0.000259219,-0.000259219
