time_period,source,location,material,EF_weighted__Global Warming Potential (Gwp1000),EF_RECIPE__Agricultural Land Occupation (Lop),EF_RECIPE__Fossil Fuel Potential (Ffp),EF_RECIPE__Freshwater Ecotoxicity Potential (Fetp),EF_RECIPE__Freshwater Eutrophication Potential (Fep),EF_RECIPE__Global Warming Potential (Gwp1000),EF_RECIPE__Human Toxicity Potential (Htpc),EF_RECIPE__Human Toxicity Potential (Htpnc),EF_RECIPE__Ionising Radiation Potential (Irp),EF_RECIPE__Marine Ecotoxicity Potential (Metp),EF_RECIPE__Marine Eutrophication Potential (Mep),EF_RECIPE__Ozone Depletion Potential (Odpinfinite),EF_RECIPE__Particulate Matter Formation Potential (Pmfp),EF_RECIPE__Photochemical Oxidant Formation Potential: Ecosystems (Eofp),EF_RECIPE__Photochemical Oxidant Formation Potential: Humans (Hofp),EF_RECIPE__Surplus Ore Potential (Sop),EF_RECIPE__Terrestrial Acidification Potential (Tap),EF_RECIPE__Terrestrial Ecotoxicity Potential (Tetp),EF_RECIPE__Water Consumption Potential (Wcp),EF_IW__Adaptation to resources services loss (beta),"EF_IW__Climate change, long term, CO2 uptake","EF_IW__Climate change, long term, biogenic","EF_IW__Climate change, long term, fossil","EF_IW__Climate change, long term, land transformation","EF_IW__Climate change, short term, CO2 uptake","EF_IW__Climate change, short term, biogenic","EF_IW__Climate change, short term, fossil","EF_IW__Climate change, short term, land transformation",EF_IW__Fossil and nuclear energy use,EF_IW__Freshwater acidification,EF_IW__Freshwater ecotoxicity,EF_IW__Freshwater eutrophication,EF_IW__Human toxicity cancer,EF_IW__Human toxicity non-cancer,EF_IW__Ionizing radiations,"EF_IW__Land occupation, biodiversity","EF_IW__Land transformation, biodiversity",EF_IW__Marine eutrophication,EF_IW__Mineral resources use,EF_IW__Ozone layer depletion,EF_IW__Particulate matter formation,EF_IW__Photochemical ozone formation,EF_IW__Resources services deficit (beta),EF_IW__Terrestrial acidification,EF_IW__Water scarcity,EF_TRACI__Acidification Potential (Ap),EF_TRACI__Ecotoxicity: Freshwater,EF_TRACI__Eutrophication Potential,EF_TRACI__Global Warming Potential (Gwp100),EF_TRACI__Human Toxicity: Carcinogenic,EF_TRACI__Human Toxicity: Non-Carcinogenic,EF_TRACI__Maximum Incremental Reactivity (Mir),EF_TRACI__Ozone Depletion Potential (Odp),EF_TRACI__Particulate Matter Formation Potential (Pmfp)
0,beneficiation,AU,flurocarbonate,0.5936610975000001,0.374074271,0.1661221685,0.0407298965,0.0006113785,0.5936610975000001,0.1089928635,1.010773525,0.0113913355,0.057944439,4.205e-05,2.3199999999999999e-07,0.0007706810000000001,0.0014641605000000001,0.0014156145,0.021763067,0.0025040345,8.436430292,0.003232621,-15.915166811999999,-12.4628372385,0.0136051115,0.5401270705,0.000240432,-12.4628372385,0.014221564499999999,0.5687099075,0.0002406075,7.8562853399999995,0.0022918805,321.04305015,8.03975e-05,1.995e-09,5.515e-08,1.4963974705,0.8383415154999999,8.909799999999999e-05,6.605e-05,0.011019705,1.45e-08,0.0002995625,0.0014125725000000001,7.9832e-05,0.002584603,0.655096545,0.0032260910000000004,14.98848681,0.0059876815,0.5786658295,1.5450000000000001e-07,2.52e-07,0.0348049485,1.295e-08,0.0002558465
0,beneficiation,BR,flurocarbonate,0.40306374,0.3740558815,0.1106807065,0.027195617999999998,0.0001089335,0.40306374,0.075855993,0.45517052199999997,0.018346986500000002,0.039231269,1.1575e-05,3.7149999999999996e-07,0.000512853,0.0010050995,0.0009560145,0.021564570499999998,0.0016503465000000002,8.192467611,0.011997021,-16.292129021999997,-12.466095013,0.019881856,0.3247274685,0.009195155,-12.466095013,0.029475921500000002,0.3517128645,0.0091953315,5.4865868859999996,0.001428801,297.82888125,7.98635e-05,1.805e-09,4.045e-08,2.304663567,0.8466504025,0.000108046,5.1699999999999996e-05,0.010995560500000001,1.545e-08,0.0002472695,0.000952916,7.0097e-05,0.0016922055000000002,1.0039271515,0.0021819285,11.171847727,0.002090033,0.38531612800000004,1.07e-07,1.24e-07,0.023391786499999997,1.3800000000000001e-08,0.0001973445
0,beneficiation,CA,flurocarbonate,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CN,flurocarbonate,0.6904113510000001,0.377169878,0.157381485,0.0311719145,0.00016032200000000001,0.6904113510000001,0.10767342399999999,0.6860772420000001,0.028806456,0.0448733225,1.4e-05,2.255e-07,0.000725081,0.001229374,0.0011841080000000001,0.0219614825,0.0020096380000000002,8.5739251535,0.003555599,-15.865641909999999,-12.465515709,0.0146717515,0.593769945,0.000230353,-12.465515709,0.015295511000000001,0.652900571,0.00023054800000000002,7.7900427275,0.0017946565000000001,375.53545149999997,8.1772e-05,2.14e-09,5.3600000000000004e-08,3.6383620420000002,0.844050962,0.0001259505,5.9e-05,0.011254443,1.33e-08,0.000520265,0.0011810115,7.46415e-05,0.002071763,0.672031594,0.0026993355,13.087213124000002,0.002987141,0.6594013295,1.52e-07,1.96e-07,0.029113586499999997,1.1905e-08,0.0003307045
0,beneficiation,EE,flurocarbonate,0.70459731,0.375379069,0.1892701145,0.042110396499999994,0.0006504519999999999,0.70459731,0.11463830950000001,1.1123122895,0.062151808,0.059976572000000006,4.505e-05,2.23e-07,0.00120981,0.0015365230000000001,0.0014833255,0.0221265775,0.003920992999999999,8.7825260175,0.0055390974999999995,-15.797108983500001,-12.473125487,0.024481773,0.628595919,0.00029385450000000003,-12.473125487,0.025119752,0.6656095025,0.000294068,9.8563463415,0.003708746,327.90468269999997,8.0347e-05,2.11e-09,6.69e-08,8.5540919035,0.8404263765,9.7975e-05,6.855e-05,0.011402401,1.45e-08,0.00040506600000000004,0.001480364,8.2837e-05,0.004006875,1.038176138,0.0046731355,15.494056525,0.006384851,0.6851614845,1.625e-07,2.895e-07,0.036464641,1.3e-08,0.00037389499999999996
0,beneficiation,JP,flurocarbonate,0.606828421,0.3748212995,0.16357376,0.0290593425,0.000159812,0.606828421,0.08279716549999999,0.526964377,0.031582652,0.042083666,1.65e-05,2.395e-07,0.000663138,0.0013936414999999999,0.001335461,0.022402964999999997,0.0021320225,8.7338793595,0.0034961205,-16.027849427,-12.483100460000001,0.0357542105,0.5148061685,0.00025692849999999997,-12.483100460000001,0.036382893,0.5552395875,0.00025714749999999995,8.169099378,0.001918735,314.49027395,8.0222e-05,1.96e-09,5.095e-08,4.411071314,0.8398261015,9.6549e-05,6.415e-05,0.011453907499999999,1.67e-08,0.000285528,0.0013326315,7.575400000000001e-05,0.0022049165,0.665825978,0.002805245,11.738584395,0.002481381,0.585632089,1.166e-07,1.4750000000000002e-07,0.032745798,1.5000000000000002e-08,0.0002328225
0,beneficiation,MM,flurocarbonate,0.6409068895,0.37559127950000004,0.1723992325,0.033331835,0.00029663650000000003,0.6409068895,0.10036853800000001,0.744669797,0.0113665085,0.0479160245,2.57e-05,2.3500000000000003e-07,0.000694857,0.0013290335,0.0012757509999999999,0.0218520065,0.0022409895000000003,8.478764174,0.005045647,-15.8990250705,-12.4667034715,0.0175735195,0.5730589054999999,0.0020110989999999997,-12.4667034715,0.020022156,0.6061672650000001,0.002011304,8.197270031,0.0020270605,316.0875903,8.1176e-05,2.03e-09,5.1150000000000005e-08,1.4931498854999998,0.8418112824999999,0.000107126,6.555e-05,0.011107849999999999,1.81e-08,0.00028217149999999996,0.0012728499999999998,7.53345e-05,0.002309541,0.7264131715,0.0029265685,13.216219944999999,0.003772938,0.622757926,1.42e-07,1.9849999999999998e-07,0.0312975125,1.64e-08,0.0002406065
0,beneficiation,MY,flurocarbonate,0.6409068895,0.37559127950000004,0.1723992325,0.033331835,0.00029663650000000003,0.6409068895,0.10036853800000001,0.744669797,0.0113665085,0.0479160245,2.57e-05,2.3500000000000003e-07,0.000694857,0.0013290335,0.0012757509999999999,0.0218520065,0.0022409895000000003,8.478764174,0.005045647,-15.8990250705,-12.4667034715,0.0175735195,0.5730589054999999,0.0020110989999999997,-12.4667034715,0.020022156,0.6061672650000001,0.002011304,8.197270031,0.0020270605,316.0875903,8.1176e-05,2.03e-09,5.1150000000000005e-08,1.4931498854999998,0.8418112824999999,0.000107126,6.555e-05,0.011107849999999999,1.81e-08,0.00028217149999999996,0.0012728499999999998,7.53345e-05,0.002309541,0.7264131715,0.0029265685,13.216219944999999,0.003772938,0.622757926,1.42e-07,1.9849999999999998e-07,0.0312975125,1.64e-08,0.0002406065
0,beneficiation,US,flurocarbonate,0.5496310975,0.374220197,0.158763601,0.033066874,0.0003146525,0.5496310975,0.091704864,0.6933717555000001,0.067341341,0.047420713,2.425e-05,2.345e-07,0.0006488990000000001,0.0013312325,0.001272185,0.0221144655,0.0019672055000000003,8.5449350585,0.0036096189999999997,-16.042494329,-12.469555739499999,0.021292923,0.482652325,0.00023812049999999998,-12.469555739499999,0.021916925,0.515476711,0.0002383,8.599714604999999,0.0017499645,331.6933937,8.022650000000001e-05,1.9299999999999997e-09,4.9e-08,8.917623248,0.8387262084999999,9.25955e-05,6.12e-05,0.0113680915,1.41e-08,0.000269428,0.001269273,7.73875e-05,0.002034408,0.677738833,0.002626226,12.8542008225,0.003672692,0.5324228655,1.2950000000000001e-07,1.81e-07,0.031161339500000003,1.26e-08,0.0002579375
0,beneficiation,AU,phosphate,0.202385493,0.030783748,0.041074614,0.018304633,0.000187281,0.202385493,0.043577605,0.424103668,0.003693724,0.024449109,4.81e-05,2.34e-07,0.000309635,0.000378179,0.000367367,0.018954704,0.000922632,3.608781357,0.003058772,0.27501636,-0.033796503,0.012913128,0.157862452,0.020466696,-0.033796503,0.013543564,0.165298603,0.020611264,1.952363686,0.000943498,327.3317558,1.02e-05,1.31e-09,2.52e-08,0.529717513,0.035152324,0.000219696,1.91e-05,0.007164696,5.77e-09,0.000110314,0.000368029,3.85e-05,0.000991589,0.851350724,0.001063771,6.162389855,0.001831485,0.198420924,6.16e-08,1e-07,0.009131785,5.03e-09,0.001107167
0,beneficiation,BR,phosphate,0.145034674,0.030776845,0.024456635,0.014252823,3.69e-05,0.145034674,0.033660177,0.257699617,0.00575587,0.018791459,3.9e-05,2.76e-07,0.000231886,0.000241213,0.000230092,0.019031395,0.000666406,3.414946356,0.005694139,0.161768447,-0.034773461,0.014800564,0.093135599,0.023162306,-0.034773461,0.018133437,0.100026974,0.023306874,1.241696153,0.000684427,320.1276716,9.88e-06,1.26e-09,2.08e-08,0.768810948,0.037650847,0.000225501,1.48e-05,0.007144503,6e-09,9.33e-05,0.000230741,3.38e-05,0.000723774,0.956150538,0.000750439,5.01482867,0.000663511,0.140275594,4.75e-08,6.2e-08,0.005721641,5.24e-09,0.001089263
0,beneficiation,CA,phosphate,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CN,phosphate,0.232781907,0.031713134,0.03892517,0.015427334,5.21e-05,0.232781907,0.04311737,0.326069474,0.009004572,0.020544125,3.97e-05,2.33e-07,0.000295268,0.000333144,0.00032278,0.01915408,0.000777253,3.714323216,0.003159106,0.291316185,-0.034635044,0.013274749,0.175207052,0.020465602,-0.034635044,0.013908706,0.191867978,0.020610176,1.956065087,0.000798074,344.2584842,1.05e-05,1.36e-09,2.47e-08,1.184209299,0.036875827,0.000230811,1.77e-05,0.007223921,5.46e-09,0.000174585,0.000323439,3.78e-05,0.000842766,0.856605205,0.00091652,5.587486128,0.000931031,0.223981695,6.09e-08,8.33e-08,0.008037212,4.75e-09,0.001127349
0,beneficiation,EE,phosphate,0.235647703,0.031174966,0.048015106,0.01871855,0.000198997,0.235647703,0.045270281,0.454548223,0.018913333,0.025058406,4.9e-05,2.31e-07,0.0004413,0.000399875,0.000387669,0.019063695,0.001347481,3.71255136,0.003750327,0.310413855,-0.036881247,0.016174298,0.184388231,0.020482714,-0.036881247,0.016811189,0.194352188,0.020627293,2.55204572,0.001368319,329.3890905,1.01e-05,1.35e-09,2.87e-08,2.645839425,0.035777427,0.000222372,1.99e-05,0.007279439,5.78e-09,0.000141947,0.000388355,3.94e-05,0.001418031,0.966210204,0.001497642,6.313975528,0.001950568,0.230351713,6.4e-08,1.12e-07,0.009629414,5.05e-09,0.001142562
0,beneficiation,JP,phosphate,0.20619547,0.031000999,0.040343479,0.014806214,5.21e-05,0.20619547,0.035696984,0.279128182,0.009735108,0.019637593,4.04e-05,2.36e-07,0.000276877,0.000357745,0.000343989,0.019279283,0.000810724,3.572068279,0.003134429,0.24114817,-0.039886429,0.019574022,0.150238857,0.020471353,-0.039886429,0.020207748,0.161136707,0.020615934,2.047467127,0.000831231,325.0401707,9.98e-06,1.3e-09,2.39e-08,1.402218717,0.035585213,0.00022187,1.85e-05,0.007276505,6.44e-09,0.000104761,0.000344718,3.55e-05,0.000877421,0.854447182,0.000937335,5.182168353,0.000781012,0.200420043,5.04e-08,6.91e-08,0.008530114,5.65e-09,0.001099838
0,beneficiation,MM,phosphate,0.216551288,0.031238593,0.042956678,0.016086458,9.29e-05,0.216551288,0.040991755,0.344317278,0.00368628,0.02144227,4.32e-05,2.35e-07,0.000286901,0.000337663,0.000325431,0.018981371,0.000843763,3.621474398,0.003602375,0.279856167,-0.034955723,0.014102984,0.167736467,0.020997599,-0.034955723,0.015282767,0.176529514,0.021142175,2.054601767,0.000864096,325.8459505,1.04e-05,1.32e-09,2.4e-08,0.528743778,0.036192667,0.000225103,1.89e-05,0.007191124,6.86e-09,0.000105099,0.000326136,3.71e-05,0.000909117,0.872733723,0.000973965,5.631007637,0.001167434,0.211641141,5.79e-08,8.44e-08,0.008080144,6.06e-09,0.001102598
0,beneficiation,MY,phosphate,0.216551288,0.031238593,0.042956678,0.016086458,9.29e-05,0.216551288,0.040991755,0.344317278,0.00368628,0.02144227,4.32e-05,2.35e-07,0.000286901,0.000337663,0.000325431,0.018981371,0.000843763,3.621474398,0.003602375,0.279856167,-0.034955723,0.014102984,0.167736467,0.020997599,-0.034955723,0.015282767,0.176529514,0.021142175,2.054601767,0.000864096,325.8459505,1.04e-05,1.32e-09,2.4e-08,0.528743778,0.036192667,0.000225103,1.89e-05,0.007191124,6.86e-09,0.000105099,0.000326136,3.71e-05,0.000909117,0.872733723,0.000973965,5.631007637,0.001167434,0.211641141,5.79e-08,8.44e-08,0.008080144,6.06e-09,0.001102598
0,beneficiation,US,phosphate,0.187154592,0.030826788,0.03833395,0.016044638,9.97e-05,0.187154592,0.038421421,0.330557819,0.020674335,0.021284575,4.28e-05,2.34e-07,0.00026955,0.000298188,0.000284927,0.019183108,0.00074952,3.509163987,0.003175451,0.234728898,-0.035866462,0.015282736,0.138869356,0.020467817,-0.035866462,0.015916638,0.147319289,0.020612386,2.15447443,0.000767508,329.7004274,9.98e-06,1.29e-09,2.34e-08,2.781922881,0.035273118,0.000220579,1.65e-05,0.007242306,5.63e-09,0.0001,0.000285615,3.59e-05,0.000811123,0.858415846,0.000858859,5.526740131,0.001145917,0.182659327,5.43e-08,7.94e-08,0.007066016,4.91e-09,0.001108
0,chemical transformation,AU,neodynium dysprosium iron alloy,0.888199307,0.008150725,0.214993044,0.057854957,0.001120585,0.888199307,0.119091257,1.739398611,0.021071347,0.078877759,7.26e-05,1.83e-07,0.001465554,0.002219076,0.002183222,0.043329555,0.003855213,5.764789752,0.003584064,1.447147451,-0.014755686,0.01391533,0.835784723,0.000447991,-0.014755686,0.01419842,0.863821239,0.000448102,10.23325084,0.004044259,242.1920026,1.56e-05,2.41e-09,7.86e-08,2.859514029,0.014840947,0.000105601,7.26e-05,0.476212523,6.9e-09,0.000454742,0.002182187,7.4e-05,0.004203973,0.156598439,0.004723292,17.97124744,0.009069708,0.873383298,1.69e-07,4.23e-07,0.053996217,6.52e-09,0.000938062
