time_period,loc_from,loc_to,mode,distance_km,shipping_cost_usd_per_kg,notes
0,AU,BR,ocean,15600,0.068,Claude+GPT reconciled (Medium confidence). Ocean route AU→BR
0,AU,CA,ocean,12000,0.0557,Claude+GPT reconciled (High confidence). Ocean route AU→CA
0,AU,CN,ocean,6400,0.0343,Claude+GPT reconciled (High confidence). Ocean route AU→CN
0,AU,EE,ocean,16500,0.0653,Claude+GPT reconciled (Medium confidence). Ocean route AU→EE
0,AU,JP,ocean,7900,0.0403,Claude+GPT reconciled (Medium confidence). Ocean route AU→JP
0,AU,MM,ocean,5436,0.0413,Claude+GPT reconciled (Medium confidence). Ocean route AU→MM
0,AU,MY,ocean,4100,0.028,Claude+GPT reconciled (High confidence). Ocean route AU→MY
0,AU,US,ocean,12450,0.0528,Claude+GPT reconciled (High confidence). Ocean route AU→US
0,BR,AU,ocean,13400,0.061,Claude+GPT reconciled (Medium confidence). Ocean route BR→AU
0,BR,CA,ocean,11400,0.0503,Claude+GPT reconciled (High confidence). Ocean route BR→CA
0,BR,CN,ocean,19500,0.0598,Claude+GPT reconciled (High confidence). Ocean route BR→CN
0,BR,EE,ocean,11050,0.0535,Claude+GPT reconciled (High confidence). Ocean route BR→EE
0,BR,JP,ocean,18350,0.07,Claude+GPT reconciled (High confidence). Ocean route BR→JP
0,BR,MM,ocean,17900,0.071,Claude+GPT reconciled (Medium confidence). Ocean route BR→MM
0,BR,MY,ocean,17650,0.0691,Claude+GPT reconciled (Medium confidence). Ocean route BR→MY
0,BR,US,ocean,9300,0.04,Claude+GPT reconciled (High confidence). Ocean route BR→US
0,CA,AU,ocean,12500,0.0594,Claude+GPT reconciled (Medium confidence). Ocean route CA→AU
0,CA,BR,ocean,12150,0.0499,Claude+GPT reconciled (High confidence). Ocean route CA→BR
0,CA,CN,ocean,9200,0.0424,Claude+GPT reconciled (High confidence). Ocean route CA→CN
0,CA,EE,land/rail,10000,0.0725,Claude+GPT reconciled (Medium confidence). Land/Rail route CA→EE
0,CA,JP,ocean,7700,0.0347,Claude+GPT reconciled (High confidence). Ocean route CA→JP
0,CA,MM,ocean,13500,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route CA→MM
0,CA,MY,ocean,11900,0.049,Claude+GPT reconciled (High confidence). Ocean route CA→MY
0,CA,US,coastal sea/land,1925,0.0215,Claude+GPT reconciled (High confidence). Coastal Sea/Land route CA→US
0,CN,AU,ocean,9000,0.0418,Claude+GPT reconciled (High confidence). Ocean route CN→AU
0,CN,BR,ocean,19500,0.0655,Claude+GPT reconciled (High confidence). Ocean route CN→BR
0,CN,CA,ocean,9300,0.0404,Claude+GPT reconciled (High confidence). Ocean route CN→CA
0,CN,EE,ocean,19750,0.0613,Claude+GPT reconciled (High confidence). Ocean route CN→EE
0,CN,JP,ocean,1900,0.0215,Claude+GPT reconciled (High confidence). Ocean route CN→JP
0,CN,MM,land/rail,2150,0.0423,Claude+GPT reconciled (Medium confidence). Land/Rail route CN→MM
0,CN,MY,ocean,3050,0.024,Claude+GPT reconciled (High confidence). Ocean route CN→MY
0,CN,US,ocean,11200,0.0454,Claude+GPT reconciled (Medium confidence). Ocean route CN→US
0,EE,AU,ocean,16500,0.0688,Claude+GPT reconciled (Medium confidence). Ocean route EE→AU
0,EE,BR,ocean,11700,0.0505,Claude+GPT reconciled (High confidence). Ocean route EE→BR
0,EE,CA,land/rail,7200,0.0324,Kept original (data unavailable: insufficient data for EE→CA)
0,EE,CN,ocean,19500,0.0578,Claude+GPT reconciled (High confidence). Ocean route EE→CN
0,EE,JP,ocean,17500,0.059,Claude+GPT reconciled (Medium confidence). Ocean route EE→JP
0,EE,MM,ocean,12850,0.0565,Claude+GPT reconciled (Medium confidence). Ocean route EE→MM
0,EE,MY,ocean,12650,0.0497,Claude+GPT reconciled (Medium confidence). Ocean route EE→MY
0,EE,US,ocean,8000,0.0365,Claude+GPT reconciled (High confidence). Ocean route EE→US
0,JP,AU,ocean,8000,0.0388,Claude+GPT reconciled (Medium confidence). Ocean route JP→AU
0,JP,BR,ocean,18500,0.0833,Claude+GPT reconciled (High confidence). Ocean route JP→BR
0,JP,CA,ocean,7540,0.0335,Claude+GPT reconciled (Medium confidence). Ocean route JP→CA
0,JP,CN,ocean,1875,0.024,Claude+GPT reconciled (High confidence). Ocean route JP→CN
0,JP,EE,ocean,19500,0.0788,Claude+GPT reconciled (Medium confidence). Ocean route JP→EE
0,JP,MM,ocean,5250,0.034,Claude+GPT reconciled (High confidence). Ocean route JP→MM
0,JP,MY,ocean,4850,0.0303,Claude+GPT reconciled (High confidence). Ocean route JP→MY
0,JP,US,ocean,9200,0.0435,Claude+GPT reconciled (High confidence). Ocean route JP→US
