time_period,source,location,material,SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
0,beneficiation,AU,flurocarbonate,2.59E-05,2.59E-05,2.59E-05,0.000259219,-0.000259219
0,beneficiation,BR,flurocarbonate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CA,flurocarbonate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CN,flurocarbonate,0.000162012,0.001620119,0.000162012,0.000162012,-0.001620119
0,beneficiation,EE,flurocarbonate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,JP,flurocarbonate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,MM,flurocarbonate,0.000259219,0.025921902,2.59E-05,2.59E-05,-2.59E-05
0,beneficiation,MY,flurocarbonate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,US,flurocarbonate,2.16E-06,2.16E-06,2.16E-06,0.000216016,-2.16E-05
0,beneficiation,AU,phosphate,2.59E-05,2.59E-05,2.59E-05,0.000259219,-0.000259219
0,beneficiation,BR,phosphate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CA,phosphate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,CN,phosphate,0.000162012,0.001620119,0.000162012,0.000162012,-0.001620119
0,beneficiation,EE,phosphate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,JP,phosphate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,MM,phosphate,0.000259219,0.025921902,2.59E-05,2.59E-05,-2.59E-05
0,beneficiation,MY,phosphate,Not available,Not available,Not available,Not available,Not available
0,beneficiation,US,phosphate,2.16E-06,2.16E-06,2.16E-06,0.000216016,-2.16E-05
0,chemical transformation,AU,neodynium dysprosium iron alloy,Not available,Not available,Not available,Not available,Not available
0,chemical transformation,BR,neodynium dysprosium iron alloy,Not available,Not available,Not available,Not available,Not available
0,chemical transformation,CA,neodynium dysprosium iron alloy,Not available,Not available,Not available,Not available,Not available
