time_period,process,location,material,yield
0,beneficiation,AU,flurocarbonate,0.06468
0,beneficiation,AU,phosphate,0.343
0,beneficiation,CN,flurocarbonate,0.06732
0,beneficiation,CN,phosphate,0.357
0,beneficiation,US,flurocarbonate,0.06534
0,beneficiation,US,phosphate,0.3465
0,chemical transformation,CN,neodynium dysprosium iron alloy,1.0
0,chemical transformation,EE,neodynium dysprosium iron alloy,1.0
0,chemical transformation,JP,neodynium dysprosium iron alloy,1.0
0,chemical transformation,US,neodynium dysprosium iron alloy,0.99
0,clay mining,AU,ion adsorption clay,0.98
0,clay mining,BR,ion adsorption clay,0.96
0,clay mining,CN,ion adsorption clay,1.0
0,clay mining,MM,ion adsorption clay,0.92
0,clay refining,AU,dysprosium_oxide,0.44296
0,clay refining,AU,neodynium_oxide,0.39494
0,clay refining,BR,dysprosium_oxide,0.42
0,clay refining,BR,neodynium_oxide,0.4
0,clay refining,CN,dysprosium_oxide,0.46104
0,clay refining,CN,neodynium_oxide,0.41106
0,clay refining,MM,dysprosium_oxide,0.38
0,clay refining,MM,neodynium_oxide,0.32
0,cryogenic,US,neodynium dysprosium iron alloy,0.792
0,direct reuse,US,hp_magnet,0.99
0,hydrochloric acid digestion,AU,dysprosium_oxide,0.002176
0,hydrochloric acid digestion,AU,neodynium_oxide,0.44982
0,hydrochloric acid digestion,CN,dysprosium_oxide,0.002264
0,hydrochloric acid digestion,CN,neodynium_oxide,0.46818
0,hydrochloric acid digestion,EE,dysprosium_oxide,0.00218
0,hydrochloric acid digestion,EE,neodynium_oxide,0.833
0,hydrochloric acid digestion,MY,dysprosium_oxide,0.0022
0,hydrochloric acid digestion,MY,neodynium_oxide,0.455
0,hydrochloric acid digestion,US,dysprosium_oxide,0.002198
0,hydrochloric acid digestion,US,neodynium_oxide,0.45441
0,hydrometallurgical,US,neodynium dysprosium iron alloy,0.891
0,magnet manufacturing,CN,hp_magnet,0.71298
0,magnet manufacturing,EE,hp_magnet,0.699
0,magnet manufacturing,JP,hp_magnet,0.699
0,magnet manufacturing,US,hp_magnet,0.69201
0,magnet-to-magnet recycling,US,hp_magnet,0.99
0,magnet_market_mix,US,hp_magnet,0.99
0,metallothermic reduction,CN,dysprosium,0.79662
0,metallothermic reduction,EE,dysprosium,0.781
0,metallothermic reduction,JP,dysprosium,0.781
0,metallothermic reduction,US,dysprosium,0.77319
0,mining,AU,bastnasite,0.98
0,mining,AU,monazaite,0.98
0,mining,BR,bastnasite,0.975
0,mining,BR,monazaite,0.975
0,mining,CA,bastnasite,0.978
0,mining,CA,monazaite,0.978
0,mining,CN,bastnasite,1.0
0,mining,CN,monazaite,1.0
0,mining,US,bastnasite,0.99
0,mining,US,monazaite,0.99
0,molten_salt electrolysis,CN,neodynium,0.84966
0,molten_salt electrolysis,EE,neodynium,0.833
0,molten_salt electrolysis,JP,neodynium,0.833
0,molten_salt electrolysis,US,neodynium,0.82467
0,pyrometallurgical,US,neodynium dysprosium iron alloy,0.8415
0,sulfuric acid digestion,AU,dysprosium_oxide,0.002176
0,sulfuric acid digestion,AU,neodynium_oxide,0.44982
0,sulfuric acid digestion,CN,dysprosium_oxide,0.002264
0,sulfuric acid digestion,CN,neodynium_oxide,0.46818
0,sulfuric acid digestion,EE,dysprosium_oxide,0.00218
0,sulfuric acid digestion,EE,neodynium_oxide,0.833
0,sulfuric acid digestion,MY,dysprosium_oxide,0.0022
0,sulfuric acid digestion,MY,neodynium_oxide,0.455
0,sulfuric acid digestion,US,dysprosium_oxide,0.002198
0,sulfuric acid digestion,US,neodynium_oxide,0.45441
0,use phase,US,hp_magnet,0.99
1,beneficiation,AU,flurocarbonate,0.065003
1,beneficiation,AU,phosphate,0.344715
1,beneficiation,CN,flurocarbonate,0.067657
1,beneficiation,CN,phosphate,0.358785
1,beneficiation,US,flurocarbonate,0.065667
1,beneficiation,US,phosphate,0.348232
1,chemical transformation,CN,neodynium dysprosium iron alloy,1.0
1,chemical transformation,EE,neodynium dysprosium iron alloy,1.0
1,chemical transformation,JP,neodynium dysprosium iron alloy,1.0
1,chemical transformation,US,neodynium dysprosium iron alloy,0.99495
1,clay mining,AU,ion adsorption clay,0.9849
1,clay mining,BR,ion adsorption clay,0.965
1,clay mining,CN,ion adsorption clay,1.0
1,clay mining,MM,ion adsorption clay,0.925
1,clay refining,AU,dysprosium_oxide,0.445175
1,clay refining,AU,neodynium_oxide,0.396915
1,clay refining,BR,dysprosium_oxide,0.425
1,clay refining,BR,neodynium_oxide,0.405
1,clay refining,CN,dysprosium_oxide,0.463345
1,clay refining,CN,neodynium_oxide,0.413115
1,clay refining,MM,dysprosium_oxide,0.385
1,clay refining,MM,neodynium_oxide,0.325
1,cryogenic,US,neodynium dysprosium iron alloy,0.79596
1,direct reuse,US,hp_magnet,0.99495
1,hydrochloric acid digestion,AU,dysprosium_oxide,0.002186
1,hydrochloric acid digestion,AU,neodynium_oxide,0.452069
1,hydrochloric acid digestion,CN,dysprosium_oxide,0.002276
1,hydrochloric acid digestion,CN,neodynium_oxide,0.470521
1,hydrochloric acid digestion,EE,dysprosium_oxide,0.0021805
1,hydrochloric acid digestion,EE,neodynium_oxide,0.838
1,hydrochloric acid digestion,MY,dysprosium_oxide,0.0022005
1,hydrochloric acid digestion,MY,neodynium_oxide,0.46
1,hydrochloric acid digestion,US,dysprosium_oxide,0.002209
1,hydrochloric acid digestion,US,neodynium_oxide,0.456682
1,hydrometallurgical,US,neodynium dysprosium iron alloy,0.895455
1,magnet manufacturing,CN,hp_magnet,0.716545
1,magnet manufacturing,EE,hp_magnet,0.704
1,magnet manufacturing,JP,hp_magnet,0.702495
1,magnet manufacturing,US,hp_magnet,0.69547
1,magnet-to-magnet recycling,US,hp_magnet,0.99495
1,magnet_market_mix,US,hp_magnet,0.99495
1,metallothermic reduction,CN,dysprosium,0.800603
1,metallothermic reduction,EE,dysprosium,0.786
1,metallothermic reduction,JP,dysprosium,0.784905
1,metallothermic reduction,US,dysprosium,0.777056
1,mining,AU,bastnasite,0.9849
1,mining,AU,monazaite,0.9849
1,mining,BR,bastnasite,0.98
1,mining,BR,monazaite,0.98
1,mining,CA,bastnasite,0.983
1,mining,CA,monazaite,0.983
1,mining,CN,bastnasite,1.0
1,mining,CN,monazaite,1.0
1,mining,US,bastnasite,0.99495
1,mining,US,monazaite,0.99495
1,molten_salt electrolysis,CN,neodynium,0.853908
1,molten_salt electrolysis,EE,neodynium,0.838
1,molten_salt electrolysis,JP,neodynium,0.837165
1,molten_salt electrolysis,US,neodynium,0.828793
1,pyrometallurgical,US,neodynium dysprosium iron alloy,0.845707
1,sulfuric acid digestion,AU,dysprosium_oxide,0.002186
1,sulfuric acid digestion,AU,neodynium_oxide,0.452069
