lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,source_file
Acidification Potential (Ap) No Lt,1.3509626004318946,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Global Warming Potential (Gwp100) No Lt,3006.377659484001,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Ecotoxicity: Freshwater No Lt,377.46076145325776,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Eutrophication Potential No Lt,0.1569391364982525,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Human Toxicity: Carcinogenic No Lt,1.3748429008932383e-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Human Toxicity: Non-Carcinogenic No Lt,1.7376931340664377e-05,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Ozone Depletion Potential (Odp) No Lt,6.968461503173659e-05,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.146077002139143,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Maximum Incremental Reactivity (Mir) No Lt,35.806111720107324,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Acidification Potential (Ap),1.354696642351393,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Global Warming Potential (Gwp100),3006.409888933956,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Ecotoxicity: Freshwater,4260.453355837526,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Eutrophication Potential,0.5567842586264645,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
Human Toxicity: Carcinogenic,0.0001735569752335,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Calcination [allocated to dysprosium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_Calcination_[allocated_to_dysprosium_oxide]CN.csv
